seed,model,episode,condition_id,generator,response_error_mm_equiv,response_endpoint_error_mm_equiv,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,Frame-weighted,episode_0,0,yaw,7.541126061363464,8.222821157342235,4.196204491084675,0.1554744060595995
20260818,Frame-weighted,episode_1,1,yaw,4.275666075516432,3.7584643185438895,2.8711386685290625,0.1584191477328452
20260818,Frame-weighted,episode_3,3,yaw,5.135591211189555,5.1730449447790505,3.177540263352739,0.1282605105098744
20260818,Frame-weighted,episode_4,4,yaw,7.003139491895767,9.664496473631148,3.1120031026128725,0.1956923976942622
20260818,Frame-weighted,episode_5,5,translation,4.632985490243804,6.6517020999048375,4.618992808496205,6.614569940222523
20260818,Frame-weighted,episode_7,6,translation,5.958947157466149,6.382369451173641,5.944236665913486,6.343371582612631
20260818,Frame-weighted,episode_8,7,translation,5.357081717687644,5.61230508957673,5.3423566879777855,5.580792702782615
20260818,Frame-weighted,episode_9,8,translation,5.412898872517623,6.617976742667274,5.398568344995489,6.579435726972824
20260818,Phase scalar GP,episode_0,0,yaw,7.536002489959093,8.233011547848927,4.191318296468938,0.1553406647984806
20260818,Phase scalar GP,episode_1,1,yaw,4.271986422460465,3.7631113883942415,2.867464877811985,0.15826031994541
20260818,Phase scalar GP,episode_3,3,yaw,5.145315961787169,5.179453986221079,3.187214000105701,0.1280666251625381
20260818,Phase scalar GP,episode_4,4,yaw,7.022717318497359,9.676444548608028,3.131754561959691,0.1955868245646816
20260818,Phase scalar GP,episode_5,5,translation,4.641336473483597,6.641082425599855,4.627329578351053,6.603797079479529
20260818,Phase scalar GP,episode_7,6,translation,5.961972697512235,6.372156007078558,5.947261854115582,6.332997412611737
20260818,Phase scalar GP,episode_8,7,translation,5.365421946763979,5.601891543530096,5.350716013246517,5.570226461299045
20260818,Phase scalar GP,episode_9,8,translation,5.425132634986332,6.607548349129333,5.410796533309155,6.5688506603558565
20260818,TP-GMM additive,episode_0,0,yaw,4.178542971627811,0.175858365365834,3.7653509460301815,0.1737935218253737
20260818,TP-GMM additive,episode_1,1,yaw,2.7401891174304605,0.0810734238315551,2.614466745924527,0.080179683965038
20260818,TP-GMM additive,episode_3,3,yaw,3.0966085217135166,0.0997849283910636,2.8443377129709058,0.0990789031926567
20260818,TP-GMM additive,episode_4,4,yaw,3.4114946138858087,0.1537509489997533,2.853815220795965,0.1448524827633177
20260818,TP-GMM additive,episode_5,5,translation,2.265997120935039,0.1165730335478152,2.2119821190717905,0.1139672061261292
20260818,TP-GMM additive,episode_7,6,translation,2.998914399038947,0.1228280013688217,2.9701367716231037,0.1219866853774073
20260818,TP-GMM additive,episode_8,7,translation,3.421843081996235,0.862701960522986,3.3928777255215694,0.8560307504482946
20260818,TP-GMM additive,episode_9,8,translation,2.593056668977171,0.1521582150201142,2.554142640472989,0.1521406467108012
20260818,TP-GMM SE(2),episode_0,0,yaw,4.514977204812509,0.8513072077965905,3.7473787433937447,0.1302713655664453
20260818,TP-GMM SE(2),episode_1,1,yaw,2.816887941034945,0.2615510790280008,2.4577987602668343,0.0891203574075743
20260818,TP-GMM SE(2),episode_3,3,yaw,2.749108387393922,0.9473662733207252,2.304661824868088,0.116647928247208
20260818,TP-GMM SE(2),episode_4,4,yaw,2.8514784398409505,1.582258151698516,1.9940586665056,0.2577636797058573
20260818,TP-GMM SE(2),episode_5,5,translation,2.842275116418095,0.8324789953816792,2.6996546662795184,0.0541962364287715
20260818,TP-GMM SE(2),episode_7,6,translation,2.7429356049795484,0.1946568454693744,2.5545653574969998,0.127924729404118
20260818,TP-GMM SE(2),episode_8,7,translation,3.637781914043989,0.8774215513775371,3.620026994144911,0.7955600270023906
20260818,TP-GMM SE(2),episode_9,8,translation,2.6329279061438395,0.2434928765437168,2.5787374119793527,0.1148795237108559
20260818,Generic RBF,episode_0,0,yaw,3.246433563748166,1.9951738649832047,3.161491196616516,1.9951306755872096
20260818,Generic RBF,episode_1,1,yaw,3.057715868696285,2.3124664816629243,3.0509266884169777,2.3124567813752672
20260818,Generic RBF,episode_3,3,yaw,4.169555160356803,3.007668253598168,4.1604412877703,3.007644167310916
20260818,Generic RBF,episode_4,4,yaw,3.9496115020776967,3.36514504797156,3.887491757240655,3.365139025317192
20260818,Generic RBF,episode_5,5,translation,1.7100457372892504,1.5685600264688615,1.7056715668015523,1.5683247590802627
20260818,Generic RBF,episode_7,6,translation,5.296684171658427,3.7328464155402874,5.294966416268133,3.732827687270062
20260818,Generic RBF,episode_8,7,translation,5.662457591743888,2.512922555101601,5.65882569323386,2.510246185674401
20260818,Generic RBF,episode_9,8,translation,9.156424312463423,2.868274238961464,9.154506946550436,2.8682739104279285
20260818,Full operator,episode_0,0,yaw,2.5102146225145527,0.2285889249306009,2.35883691999673,0.2278048010747048
20260818,Full operator,episode_1,1,yaw,2.026754286783572,0.0517798145632127,2.02040995493607,0.0508880864549013
20260818,Full operator,episode_3,3,yaw,3.0669102239866253,0.1069594533748105,3.0558761589243284,0.1059016761107189
20260818,Full operator,episode_4,4,yaw,2.640740587724119,0.0693468104872577,2.489394846024939,0.0693451572257769
20260818,Full operator,episode_5,5,translation,1.214440075291684,0.2238723775372521,1.2044659198063763,0.2218698990800898
20260818,Full operator,episode_7,6,translation,4.433132184204227,0.0389721375406139,4.431361533726359,0.0361997287421926
20260818,Full operator,episode_8,7,translation,5.313704609239119,1.0019231836617897,5.307601695990951,0.9955863188508504
20260818,Full operator,episode_9,8,translation,8.323220904859216,0.0215031571133403,8.311938403844275,0.0213938470905626
20260818,Pdiag pointwise,episode_0,0,yaw,4.173658873595314,0.1190296453934103,4.026569422584236,0.1168759757504906
20260818,Pdiag pointwise,episode_1,1,yaw,2.744496841623485,0.0967041591761021,2.7381129583448693,0.0960251993747999
20260818,Pdiag pointwise,episode_3,3,yaw,3.189447181265682,0.0350764053378651,3.1777263252221464,0.0308792196519258
20260818,Pdiag pointwise,episode_4,4,yaw,3.264229866502589,0.1672139886034269,3.109353517099657,0.1671887374976651
20260818,Pdiag pointwise,episode_5,5,translation,2.0999400786704583,0.1136673632944555,2.0976512360046784,0.1133179086725566
20260818,Pdiag pointwise,episode_7,6,translation,3.2862990511447907,0.0837081543513225,3.285335098505681,0.0834710777973648
20260818,Pdiag pointwise,episode_8,7,translation,3.438299882597063,0.9980659338712372,3.432645165659061,0.9912008049902296
20260818,Pdiag pointwise,episode_9,8,translation,3.670761879880867,0.0104565659062443,3.669423759525245,0.0101711352449668
20260818,Pdiag finite,episode_0,0,yaw,2.499976373803892,0.3596836401118894,2.209355411594049,0.1200046207426209
20260818,Pdiag finite,episode_1,1,yaw,1.253289642073368,0.3555390817328298,1.2351709876385035,0.3205199540817205
20260818,Pdiag finite,episode_3,3,yaw,2.654277668306364,0.3327595495883161,2.6189347595061774,0.2575773098884804
20260818,Pdiag finite,episode_4,4,yaw,1.7624000802604136,0.4300782356745187,1.4486179495050573,0.0892632108482628
20260818,Pdiag finite,episode_5,5,translation,1.533375077797263,0.7476377088620112,1.5330525557619337,0.747311120002576
20260818,Pdiag finite,episode_7,6,translation,2.560791258560837,0.5625075705133734,2.5604976388106166,0.5619647207178159
20260818,Pdiag finite,episode_8,7,translation,2.4498306100801903,1.2305311920796267,2.4472689821494416,1.227532171009883
20260818,Pdiag finite,episode_9,8,translation,3.0362343137341945,0.222901679326375,3.0352713194188765,0.220380759786349
20270818,Frame-weighted,episode_0,0,yaw,5.790024250470436,8.308518412018229,2.5076539975848657,0.1152237803764606
20270818,Frame-weighted,episode_1,1,yaw,3.796765004877484,3.876927465537462,2.438033484031325,0.1396639239423548
20270818,Frame-weighted,episode_3,3,yaw,4.7754208525427,5.251280394141121,2.9102190474087646,0.1200938373491678
20270818,Frame-weighted,episode_4,4,yaw,7.796499463263302,9.790710425179578,3.899895121896754,0.2115979420990992
20270818,Frame-weighted,episode_5,5,translation,3.969868666097979,6.550941814755904,3.952825961352949,6.510437334094169
20270818,Frame-weighted,episode_6,6,translation,4.10200256703356,6.426286876141892,4.085323799606133,6.386825674201502
20270818,Frame-weighted,episode_7,7,translation,3.920431444823117,6.272052760144572,3.9017792538914993,6.229477619868
20270818,Frame-weighted,episode_8,8,translation,3.493696525225515,6.540020997233589,3.4766358707706395,6.499048803875289
20270818,Phase scalar GP,episode_0,0,yaw,5.79005403595453,8.30887552944828,2.5076668862340936,0.1152177152931181
20270818,Phase scalar GP,episode_1,1,yaw,3.796756893297159,3.8770903849684255,2.4380247048954344,0.1396585759309479
20270818,Phase scalar GP,episode_3,3,yaw,4.775449125497073,5.251505023668946,2.9102429151339497,0.1200881786030757
20270818,Phase scalar GP,episode_4,4,yaw,7.796509793709837,9.791129120497787,3.899884907751901,0.2115959774129964
20270818,Phase scalar GP,episode_5,5,translation,3.969943893066045,6.55057008956561,3.952901298818812,6.51005985482419
20270818,Phase scalar GP,episode_6,6,translation,4.10212525479376,6.4259299417751885,4.085446371551338,6.386463105045037
20270818,Phase scalar GP,episode_7,7,translation,3.920391394835205,6.271688545143308,3.9017392481348527,6.229107308129292
20270818,Phase scalar GP,episode_8,8,translation,3.4936270509230214,6.539655850306821,3.4765664246732038,6.498677890628188
20270818,TP-GMM additive,episode_0,0,yaw,5.641903075499005,0.7798539748423982,4.855463980733605,0.1517075768881718
20270818,TP-GMM additive,episode_1,1,yaw,3.9760984057407103,0.3062326744396276,3.6491750702042354,0.1188169891160097
20270818,TP-GMM additive,episode_3,3,yaw,3.643015554754133,0.9488099026077034,3.302025010563598,0.1223824478026487
20270818,TP-GMM additive,episode_4,4,yaw,6.965377908212851,1.541179670132521,6.1279490413369855,0.194909654000195
20270818,TP-GMM additive,episode_5,5,translation,3.959156099781897,0.8397564486044032,3.846874435815234,0.1149260379989578
20270818,TP-GMM additive,episode_6,6,translation,4.013113692311547,0.5310608234353376,3.943636011450304,0.5194831717854822
20270818,TP-GMM additive,episode_7,7,translation,3.2282348325196324,0.5496524612609985,3.176321183992875,0.1249044723961974
20270818,TP-GMM additive,episode_8,8,translation,3.676082707778789,0.2720244989575003,3.653198959041804,0.1748964896814602
20270818,TP-GMM SE(2),episode_0,0,yaw,4.519288102917585,0.9142721455493918,4.15467527354947,0.8978344203486508
20270818,TP-GMM SE(2),episode_1,1,yaw,2.499794426170064,0.9001483631710668,2.4119559805147066,0.8918018679387866
20270818,TP-GMM SE(2),episode_3,3,yaw,2.60749782105933,0.7028311652738758,2.430606307254497,0.6569154132808838
20270818,TP-GMM SE(2),episode_4,4,yaw,5.264655789901424,0.483681687154661,4.731674986410566,0.2650322136999037
20270818,TP-GMM SE(2),episode_5,5,translation,2.480549919932124,0.7984862046731077,2.4122053533533885,0.7884056415592684
20270818,TP-GMM SE(2),episode_6,6,translation,2.421002342026981,1.2266791832335655,2.3693346177288284,1.2250070932214605
20270818,TP-GMM SE(2),episode_7,7,translation,1.707943664165797,0.1993716247147576,1.6754183023035427,0.1670374551999337
20270818,TP-GMM SE(2),episode_8,8,translation,2.616844135053191,1.847190479462269,2.595731553093961,1.8190145120742007
20270818,Generic RBF,episode_0,0,yaw,1.7781510117768016,0.1689847195791316,1.6611214868438569,0.1687490393605977
20270818,Generic RBF,episode_1,1,yaw,2.157309039690693,0.0844895392117295,2.1469757980258057,0.0397191877371309
20270818,Generic RBF,episode_3,3,yaw,2.6511823780294894,0.1383173909100332,2.628915958639616,0.1373720181952052
20270818,Generic RBF,episode_4,4,yaw,2.8785192040328,0.10909415102858,2.7927600892013125,0.1023142581423516
20270818,Generic RBF,episode_5,5,translation,1.297216078565286,0.0498769551829625,1.2892858677251495,0.0490239204674065
20270818,Generic RBF,episode_6,6,translation,2.422887642529829,0.6473968328855568,2.415976531935699,0.6473798900176186
20270818,Generic RBF,episode_7,7,translation,1.84584214580878,0.5027840280407189,1.8419384150732856,0.5027795199754284
20270818,Generic RBF,episode_8,8,translation,0.7744879190724742,0.2324350424097624,0.763125962039885,0.2311484572778926
20270818,Full operator,episode_0,0,yaw,1.759500705624711,0.1691515381855225,1.6424093678469416,0.1689181364033004
20270818,Full operator,episode_1,1,yaw,2.139189849742725,0.0845520649666912,2.128884914792476,0.0397330019469872
20270818,Full operator,episode_3,3,yaw,2.644270634059544,0.1381302811944227,2.621944985465963,0.1371968482121607
20270818,Full operator,episode_4,4,yaw,2.8762704266915056,0.1098171507120461,2.790559558258319,0.1031352080418729
20270818,Full operator,episode_5,5,translation,1.2966682582295688,0.049532973027047,1.2887317338353643,0.0486958565883554
20270818,Full operator,episode_6,6,translation,2.4130988197796763,0.6473392806187788,2.406171053658518,0.6473219050106476
20270818,Full operator,episode_7,7,translation,1.8399424429531053,0.5022857373234724,1.836035098468219,0.5022816507472695
20270818,Full operator,episode_8,8,translation,0.754817863279801,0.2325169558669746,0.7434346091681542,0.2312385583438758
20270818,Pdiag pointwise,episode_0,0,yaw,2.599979907163428,0.0620437934863881,2.496697244885687,0.0612825121529054
20270818,Pdiag pointwise,episode_1,1,yaw,2.401399407364548,0.117290295854403,2.395524875559777,0.0907895437653365
20270818,Pdiag pointwise,episode_3,3,yaw,2.8814688968137325,0.0756565256616893,2.854359399677875,0.074041725411185
20270818,Pdiag pointwise,episode_4,4,yaw,3.983896781292906,0.2154355322308179,3.857736843729959,0.2122677851011939
20270818,Pdiag pointwise,episode_5,5,translation,1.6009007390247063,0.1218469353910968,1.5989897138089628,0.1214149449402001
20270818,Pdiag pointwise,episode_6,6,translation,2.402260450766919,0.4878863729323811,2.4014351915819683,0.4878490708549188
20270818,Pdiag pointwise,episode_7,7,translation,1.8702546216271472,0.5080064368026409,1.868890188693512,0.5078537440461947
