seed,episode_id,condition_id,generator,success,complete,du,dv,dw,roll,pitch,yaw
20260818,0,0,baseline,True,True,0.0,0.0,0.0,0.0,0.0,0.0
20260818,1,1,du,True,True,-0.015,0.0,0.0,0.0,0.0,0.0
20260818,2,2,du,True,True,0.015,0.0,0.0,0.0,0.0,0.0
20260818,3,3,dv,True,True,0.0,-0.015,0.0,0.0,0.0,0.0
20260818,4,4,dv,True,True,0.0,0.015,0.0,0.0,0.0,0.0
20260818,5,5,dw,True,True,0.0,0.0,-0.015,0.0,0.0,0.0
20260818,6,6,dw,True,True,0.0,0.0,0.015,0.0,0.0,0.0
20260818,7,7,roll,True,True,0.0,0.0,0.0,-0.2617993877991494,0.0,0.0
20260818,8,8,roll,True,True,0.0,0.0,0.0,0.2617993877991494,0.0,0.0
20260818,9,9,pitch,True,True,0.0,0.0,0.0,0.0,-0.2617993877991494,0.0
20260818,10,10,pitch,True,True,0.0,0.0,0.0,0.0,0.2617993877991494,0.0
20260818,11,11,yaw,True,True,0.0,0.0,0.0,0.0,0.0,-0.5235987755982988
20260818,12,12,yaw,True,True,0.0,0.0,0.0,0.0,0.0,-0.2617993877991494
20260818,13,13,yaw,True,True,0.0,0.0,0.0,0.0,0.0,0.2617993877991494
20260818,14,14,yaw,True,True,0.0,0.0,0.0,0.0,0.0,0.5235987755982988
20260818,15,15,mixed,True,True,-0.0023931185865242923,-0.0010791215800725062,-0.004275939671176582,-0.04861447858898929,-0.22355016265477695,-0.27645951677924374
20260818,16,16,mixed,True,True,0.0038875386126535627,0.011759554302412916,-0.0007848806958179622,0.1900966572488032,-0.06925673564154736,-0.4797539782073512
20260818,17,17,mixed,True,True,0.0029496725821234956,-0.011109129942626405,-0.007237248338266749,-0.24697511706364939,0.06860731248715657,0.18656551070753769
20260818,18,18,mixed,True,True,-0.005542401259478868,0.00032293439542781417,0.0030558761850857843,-0.0487255785652666,-0.026959853137922152,-0.2752020212045151
20260818,19,19,mixed,True,True,0.0022465624784044486,-0.006905244765118781,-9.083573340008463e-05,0.03420993299555325,0.2513138288770131,-0.14347506968843726
20260818,20,20,mixed,True,True,0.010362728597275557,-0.0007917488497382989,-0.009054384496133484,0.026230190667191844,-0.06267222436291853,-0.1610041259052088
20260818,21,21,mixed,True,True,0.005460533610843841,-0.009176065566340208,-0.008395144906265112,-0.22248268378184943,0.2593460250043574,0.33840644592155844
20260818,22,22,mixed,True,True,0.003583363549875037,-0.0038229538769398493,0.007225184561386745,0.15084841439656677,-0.03383847188210823,-0.3045332339783158
20260818,23,23,mixed,True,True,-0.010535570229681426,-0.006097956751513089,-0.0005040051463465461,-0.01882710446490593,-0.012066916643562936,0.06367738146914015
20260818,24,24,mixed,True,True,0.008541769008218795,0.004022032916112337,0.0007324806205269048,0.06413959662491892,-0.20395613954027825,0.3077043496696418
20260818,25,25,mixed,True,True,-0.006089367938036382,-0.010627967707550005,0.00877755486414112,0.19810586654024598,0.027589415847527332,0.01733541423828555
20260818,26,26,mixed,True,True,0.011910616875627975,0.00261372197217654,0.011690458048543483,-0.11334663559442615,0.030378175222927795,-0.346447262945213
20260818,27,27,mixed,True,True,0.00038940294977674907,0.009918567515302294,-0.0038912261399859337,0.04155979104163937,0.2518872996087554,-0.32687843647994297
20260818,28,28,mixed,True,True,-0.003747792048091088,0.010245802483035374,-0.010924892153219236,-0.24524962067042688,-0.018299694099742747,0.23442581763406956
20260818,29,29,mixed,True,True,-0.0024197706407490596,-0.009121479235809632,0.008501128016379964,0.018439239746606606,0.18654156498740165,0.1446787842603401
20260818,30,30,mixed,True,True,-0.0029835496957855336,-0.002968519007429709,-0.00432711797551482,0.03192516326643646,-0.23567008621616087,0.13681638509605953
20260818,31,31,mixed,True,True,-0.010318973902682754,0.005937840751078852,-0.010299363437942306,0.10377346833348478,0.03888724422923351,-0.14810025530491183
20260818,32,32,mixed,True,True,0.0005895657058264531,-0.011659743290649243,0.004506426298323301,0.013893160636621271,-0.2224543594017918,-0.5202990344731933
20260818,33,33,mixed,True,True,-0.0034286025301516632,0.01063811377168819,-0.0034421955331883653,-0.05267056508227727,0.07194137164881148,-0.17434844749867762
20260818,34,34,mixed,True,True,-0.002026070013566054,-0.009743717447778659,0.005910976400794337,-0.16461338905518635,0.012068574907130869,-0.46972034946625946
20260818,35,35,mixed,True,True,0.0009097482489093117,0.006665636028275725,0.009441874090492613,0.075785970665393,-0.09837492307097764,-0.11999540268391062
20260818,36,36,mixed,True,True,0.011581668345195723,0.002460851266707113,-0.0029971645695810265,-0.17480220345020583,-0.03143724450152258,-0.009631152246984853
20260818,37,37,mixed,True,True,-0.007749076875058698,-0.0038960565219282577,-0.009084404117101014,0.14247523907193832,0.09023408076847356,-0.29880584612926486
20260818,38,38,mixed,True,True,-0.0005691946794745429,-0.009571615567097002,0.0025572352590329615,0.16667017567052117,0.017167441245706905,-0.41812000363079677
20260818,39,39,mixed,True,True,0.009248659563117607,-0.0010771536308483154,-0.008326152454130327,-0.25133582095497936,-0.21344799001687997,-0.39406367518401186
20260818,40,40,mixed,True,True,0.0024444027013805405,0.0040591032574566685,-0.007724247791055372,-0.11067718247786432,0.13571554476838998,0.16381224311933829
