dataset,episode_index,frames,duration_s,nonfinite_state,nonfinite_action,duplicate_frame_indices,nonunit_frame_steps,nonincreasing_timestamps,median_dt_s,max_dt_s,metadata_rows,metadata_length_match,state_0_start,state_0_end,state_0_min,state_0_max,state_1_start,state_1_end,state_1_min,state_1_max,state_2_start,state_2_end,state_2_min,state_2_max,state_3_start,state_3_end,state_3_min,state_3_max,state_4_start,state_4_end,state_4_min,state_4_max,state_5_start,state_5_end,state_5_min,state_5_max,state_6_start,state_6_end,state_6_min,state_6_max,state_7_start,state_7_end,state_7_min,state_7_max,state_8_start,state_8_end,state_8_min,state_8_max,state_9_start,state_9_end,state_9_min,state_9_max,state_10_start,state_10_end,state_10_min,state_10_max,state_11_start,state_11_end,state_11_min,state_11_max,state_12_start,state_12_end,state_12_min,state_12_max,state_13_start,state_13_end,state_13_min,state_13_max,state_14_start,state_14_end,state_14_min,state_14_max
insert_10degree,0,1247,41.53333282470703,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,-0.11026855558156967,-0.03184780105948448,-0.11060387641191483,-0.027651401236653328,-0.08232549577951431,-0.15083572268486023,-0.15523409843444824,0.3980456292629242,-0.05132323130965233,-0.12859021127223969,-0.13716158270835876,0.18645374476909637,-2.0155253410339355,-2.016669511795044,-2.3031985759735107,-2.0155155658721924,0.09337595105171204,0.019612031057476997,-0.04638195037841797,0.3204408884048462,1.9106333255767822,1.8656717538833618,1.857130527496338,2.5213773250579834,-0.9146760106086731,-0.8538689017295837,-1.0225551128387451,-0.7975188493728638,0.873329758644104,0.8733001351356506,0.1546158343553543,0.8733370900154114,-0.000527203141245991,-0.0009966972284018993,-0.01596032828092575,0.07096212357282639,0.001235168194398284,0.00016652497288305312,-0.3017863929271698,0.44590523838996887,-0.0008586940821260214,-0.004050915595144033,-0.2458706647157669,0.23116843402385712,-0.0006189814885146916,-8.373997115995735e-05,-0.16482894122600555,0.2724453806877136,0.000636356882750988,0.0003347475139889866,-0.37092897295951843,0.16784979403018951,-0.00042796152411028743,0.0006473725661635399,-0.39893826842308044,0.6163999438285828,0.0017183698946610093,-0.001275372225791216,-0.337911456823349,0.2533300220966339
insert_10degree,1,1195,39.79999923706055,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,-0.03052043914794922,0.12580150365829468,-0.03052043914794922,0.13417573273181915,-0.011649087071418762,-0.08931170403957367,-0.10729458928108215,0.406930148601532,-0.17431290447711945,-0.2938903868198395,-0.31756389141082764,0.03484366089105606,-1.832719326019287,-1.9492814540863037,-2.28415846824646,-1.832719326019287,0.05131373181939125,0.06005929782986641,-0.04191403463482857,0.32401853799819946,1.882612705230713,1.8560329675674438,1.8035271167755127,2.4697461128234863,-0.9964783191680908,-0.9643332362174988,-1.0741283893585205,-0.9242175221443176,0.8733223676681519,0.8732189536094666,0.08485699445009232,0.873329758644104,-0.00022706591698806733,-0.00023404182866215706,-0.020592764019966125,0.1015193983912468,0.0007366721983999014,8.021294343052432e-05,-0.4676840901374817,0.408978670835495,-0.0011917325900867581,-0.005468445364385843,-0.2101769596338272,0.2663971781730652,0.0005400371737778187,-0.010862169787287712,-0.2144220918416977,0.46920132637023926,-0.0009600171470083296,0.00014973529323469847,-0.3582310676574707,0.2976323962211609,-0.00012946673086844385,-8.813889871817082e-05,-0.6042433381080627,0.7304337024688721,0.00020569532352965325,0.000449798273621127,-0.17284482717514038,0.12491083145141602
insert_10degree,2,1101,36.66666793823242,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,0.12441616505384445,0.20364049077033997,0.12165331095457077,0.2072046995162964,-0.14260032773017883,-0.11311393976211548,-0.1438443809747696,0.3993682265281677,-0.30386555194854736,-0.3531244099140167,-0.39247411489486694,-0.042266905307769775,-2.078789710998535,-1.9195069074630737,-2.268613576889038,-1.9195069074630737,-0.04872770234942436,0.003820159938186407,-0.04895160719752312,0.3518499732017517,1.9027597904205322,1.7166184186935425,1.7149746417999268,2.4958317279815674,-0.9601162672042847,-0.955781102180481,-1.2070375680923462,-0.8651947379112244,0.8733001351356506,0.8732854127883911,0.07620730996131897,0.873329758644104,0.0006454104441218078,-0.0014009177684783936,-0.026271849870681763,0.08515210449695587,-0.0005199991865083575,0.006198613904416561,-0.17676085233688354,0.36864951252937317,-0.0013049395056441426,-0.008354454301297665,-0.2083650380373001,0.21588268876075745,0.0004013982543256134,0.0004165862046647817,-0.18064866960048676,0.2238650768995285,-0.00024418410612270236,-0.0011238647857680917,-0.26780587434768677,0.4988830089569092,0.0005507657770067453,-0.00023905343550723046,-0.4581303596496582,0.6239338517189026,0.001601066323928535,0.011994647793471813,-0.3731468915939331,0.3575109839439392
insert_10degree,3,1023,34.06666564941406,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,-0.049397677183151245,0.05205252394080162,-0.049577344208955765,0.05984536558389664,-0.21557168662548065,-0.1048758253455162,-0.21557168662548065,0.4266737997531891,-0.10435985773801804,-0.24616964161396027,-0.25099918246269226,0.09996958076953888,-1.983528733253479,-1.8149164915084839,-2.2773640155792236,-1.8148963451385498,0.04548009857535362,0.015518122352659702,-0.030100475996732712,0.26749083399772644,1.747501015663147,1.6567416191101074,1.6562368869781494,2.479262351989746,-0.8559399843215942,-0.9060956835746765,-0.9963261485099792,-0.7537261843681335,0.8733223676681519,0.8733001351356506,0.1105475053191185,0.873329758644104,-0.0005711986450478435,0.0027834984939545393,-0.016983559355139732,0.0731084868311882,-0.001039764960296452,0.0004396582953631878,-0.33304572105407715,0.33986231684684753,0.0001957669883267954,0.020099997520446777,-0.3086599111557007,0.2028375118970871,-0.0005242733168415725,-0.000671600631903857,-0.20565953850746155,0.3515242338180542,6.94314221618697e-05,0.0010598294902592897,-0.26832976937294006,0.30316007137298584,5.236850120127201e-05,0.01902848854660988,-0.5697343945503235,0.35003602504730225,0.0005240124883130193,0.017052851617336273,-0.33442169427871704,0.17941167950630188
insert_10degree,4,1455,48.46666717529297,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,0.05210624635219574,-0.005290413741022348,-0.005294392351061106,0.13067032396793365,-0.10490543395280838,-0.1540086567401886,-0.18342500925064087,0.44238051772117615,-0.24414536356925964,-0.1322932094335556,-0.3055650591850281,0.039394035935401917,-1.8148874044418335,-1.9188965559005737,-2.2977402210235596,-1.8148874044418335,0.015520000830292702,-0.07778213173151016,-0.08438687026500702,0.23185576498508453,1.6586594581604004,1.6343568563461304,1.6067010164260864,2.5115580558776855,-0.9014753103256226,-0.6983217597007751,-0.9260597229003906,-0.5876988768577576,0.873329758644104,0.8733223676681519,0.15979380905628204,0.873329758644104,-0.0001769186492310837,0.0020350306294858456,-0.39224541187286377,0.08179653435945511,-0.0009058003779500723,-9.70624532783404e-05,-0.3931952118873596,0.3082650899887085,0.00011889670713571832,0.0004982674145139754,-0.18268869817256927,0.42243248224258423,0.0007164740818552673,-0.0002487731399014592,-0.3392961621284485,0.3594091236591339,0.0015572539996355772,0.0004895774181932211,-0.28720951080322266,0.2493324726819992,-0.0006482822936959565,0.0009070668020285666,-0.5948622822761536,0.5984069108963013,0.002165556652471423,-0.0007637986564077437,-0.22351810336112976,0.6729670166969299
insert_10degree,5,1063,35.400001525878906,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,0.025027144700288773,0.12222447991371155,0.024120669811964035,0.1273248940706253,-0.06026836484670639,-0.1789122372865677,-0.20761656761169434,0.4157527685165405,-0.1887216418981552,-0.19924885034561157,-0.2331680953502655,0.027290713042020798,-1.909705400466919,-2.0231640338897705,-2.260610818862915,-1.909705400466919,-0.024064045399427414,-0.08332955092191696,-0.08531542867422104,0.29621419310569763,1.8275963068008423,1.8063968420028687,1.8012911081314087,2.46632719039917,-0.8713787198066711,-0.8038519620895386,-1.023699402809143,-0.7999985814094543,0.8733075857162476,0.8732854127883911,0.12896223366260529,0.873329758644104,0.0010280603310093284,-0.000729807885363698,-0.02872171811759472,0.06792086362838745,-0.00024036792456172407,0.0004056353063788265,-0.3409706652164459,0.33492234349250793,0.0009462735033594072,-0.0025625554844737053,-0.2883610725402832,0.21535536646842957,-0.0009710317244753242,0.0001919109927257523,-0.21106956899166107,0.2242397516965866,0.0012057054555043578,0.0006017336854711175,-0.3590218424797058,0.2950761020183563,0.0005144218448549509,-0.00012264166434761137,-0.46061810851097107,0.390213280916214,-0.0017358766635879874,4.337510108598508e-05,-0.2993353009223938,0.2355913370847702
insert_10degree,6,1026,34.16666793823242,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,-0.06860611587762833,0.021048272028565407,-0.06860611587762833,0.026298383250832558,-0.09910298138856888,-0.028564894571900368,-0.09921693056821823,0.3941026031970978,-0.21450263261795044,-0.22482635080814362,-0.24396757781505585,0.09945405274629593,-1.957504153251648,-1.9810459613800049,-2.208660364151001,-1.950784683227539,0.024190347641706467,0.10204946994781494,0.024186287075281143,0.3151698112487793,1.7939552068710327,1.9137858152389526,1.7938063144683838,2.4723150730133057,-0.9562039971351624,-0.8548343181610107,-1.0640164613723755,-0.8172173500061035,0.8733149766921997,0.8732189536094666,0.05146228149533272,0.8733223676681519,4.1647122998256236e-05,0.0004045251989737153,-0.024697529152035713,0.08640995621681213,-0.001417370978742838,-0.0006143450736999512,-0.18852084875106812,0.2668330669403076,0.0003916339192073792,-0.0007541175000369549,-0.17819930613040924,0.1777237057685852,-0.0005804304964840412,-0.0009614870068617165,-0.28838786482810974,0.19335362315177917,0.00035609703627415,-0.022829918190836906,-0.2653399705886841,0.28205400705337524,0.0011342624202370644,-0.0076193963177502155,-0.6072016358375549,0.6040886640548706,-0.0007836222648620605,0.0005294953007251024,-0.18763241171836853,0.2175440490245819
insert_10degree,7,1069,35.599998474121094,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,0.012216046452522278,0.1565258651971817,0.012211068533360958,0.16070222854614258,-0.030983855947852135,-0.050566043704748154,-0.051225390285253525,0.3950347602367401,-0.26901742815971375,-0.40741705894470215,-0.42797499895095825,-0.020972590893507004,-1.989350438117981,-1.9046740531921387,-2.179856777191162,-1.903851866722107,0.007190187461674213,0.0883626714348793,0.006409740075469017,0.3343925476074219,1.9124939441680908,1.7889095544815063,1.7490041255950928,2.4304728507995605,-0.877082884311676,-0.9190807938575745,-1.0331929922103882,-0.704042375087738,0.8733001351356506,0.8732854127883911,0.06103528290987015,0.8733075857162476,-0.00029282065224833786,-0.0005794840399175882,-0.03068952076137066,0.07647225260734558,-0.0010530904401093721,-0.0011596707627177238,-0.24132339656352997,0.2147608995437622,0.0004101881349924952,-0.007497293874621391,-0.28735119104385376,0.20985718071460724,0.00030674890149384737,0.0009635871392674744,-0.1650242954492569,0.2757357656955719,0.000295262347208336,0.0002100379060721025,-0.36893904209136963,0.24781769514083862,0.0008857754291966558,0.017316631972789764,-0.49458253383636475,0.439441978931427,0.0019632847979664803,-0.0002524069859646261,-0.26601091027259827,0.2589899003505707
insert_10degree,8,1005,33.46666717529297,0,0,0,0,0,0.03333306312561035,0.033336639404296875,1,True,0.15647587180137634,0.2659580111503601,0.1523730307817459,0.26761144399642944,-0.05056426674127579,-0.09498083591461182,-0.11162510514259338,0.3971412181854248,-0.4085483253002167,-0.5442166328430176,-0.562306821346283,-0.11179250478744507,-1.9046779870986938,-1.9261401891708374,-2.2619080543518066,-1.9046779870986938,0.0883583277463913,0.041690047830343246,-0.05730702728033066,0.36960166692733765,1.7890353202819824,1.7503674030303955,1.7435033321380615,2.476270914077759,-0.9190807342529297,-1.0140641927719116,-1.0816541910171509,-0.722012460231781,0.8733149766921997,0.873278021812439,0.17379137873649597,0.8733149766921997,-0.00017206025950144976,0.0009182262583635747,-0.02898508869111538,0.09351935237646103,0.0010134170297533274,-0.00036215182626619935,-0.2863176763057709,0.29855796694755554,-0.00042653633863665164,-0.0002530424389988184,-0.3048676550388336,0.1662948578596115,-0.0002277057064929977,-0.0005517044337466359,-0.3557278513908386,0.29180651903152466,0.0005674742860719562,0.0006269855657592416,-0.32836025953292847,0.3498014509677887,0.0007553220493718982,-0.0011015437776222825,-0.549293577671051,0.5902949571609497,0.0009974086424335837,-0.0008994025993160903,-0.33535072207450867,0.2292785346508026
insert_10degree,9,1055,35.13333511352539,0,0,0,0,0,0.03333282470703125,0.033336639404296875,1,True,-0.12626339495182037,0.017227141186594963,-0.1281428337097168,0.02775687910616398,-0.05197938159108162,-0.03061269223690033,-0.05197938159108162,0.4087802767753601,0.03086301125586033,-0.20534168183803558,-0.2535552382469177,0.10590421408414841,-1.9243383407592773,-1.9952311515808105,-2.2109220027923584,-1.919474482536316,0.009849758818745613,0.024369729682803154,-0.10747114568948746,0.3156590461730957,1.7707741260528564,1.9314348697662354,1.7707741260528564,2.4203717708587646,-0.9220497608184814,-0.9889878034591675,-1.0747826099395752,-0.8347324132919312,0.8733075857162476,0.8733001351356506,0.13455387949943542,0.8733149766921997,-0.0002416542120045051,-0.0010575021151453257,-0.0687205120921135,0.09840039163827896,0.0002865734859369695,0.00011241227184655145,-0.258894145488739,0.378741979598999,-0.000384934974135831,0.0002639887679833919,-0.25973397493362427,0.22562196850776672,0.0005188727518543601,-0.0005447412841022015,-0.23171618580818176,0.25924599170684814,-0.00018394326616544276,-0.0004435512237250805,-0.3157994747161865,0.370976984500885,0.00030165797215886414,0.00022876780712977052,-0.46024468541145325,0.5552963018417358,-0.0003810031048487872,-0.00010625415598042309,-0.22017444670200348,0.19802725315093994
