seed,subset_id,protocol,sample_size,optimization_success,optimization_nfev,optimization_cost,optimization_optimality,profile_max_absolute_reproduction_error,audit_fit_seconds
20300818,0,random,3,True,12,0.0007268557009835436,2.4815713040104687e-10,0.0,1.3408455299213529
20300818,1,random,3,True,8,0.00035142223350169167,2.566016022392861e-10,0.0,3.8137641670182347
20300818,2,random,3,True,6,0.0017694683315517203,7.881939820541073e-10,0.0,3.6644130581989884
20300818,3,random,3,True,12,0.0012225808764702822,6.622608336223243e-10,0.0,19.71208933601156
20300818,4,random,3,True,18,0.0032049993227401025,7.331130708544089e-10,0.0,9.284307440277189
20300818,5,random,3,True,18,0.0010391321951345731,6.606534362423433e-10,0.0,30.057724997401237
20300818,6,random,3,True,11,0.0007867096708398329,9.59823157692127e-10,0.0,10.689396583940834
20300818,7,random,3,True,20,0.000475890678330143,7.89212005488849e-10,0.0,3.184396185912192
20300818,8,random,3,True,16,0.003503248808030826,8.931745665518219e-10,0.0,4.063603360205889
20300818,9,random,3,True,13,0.0005449887824598992,8.723269586278092e-10,0.0,2.2891153832897544
20300818,10,qualified,3,True,21,0.0003419277003982222,9.985836814425661e-10,0.0,15.942566604353487
20300818,11,qualified,3,True,6,0.0006834016812981,9.86963647980766e-10,0.0,2.261892039794475
20300818,12,qualified,3,True,15,0.0005378180208313638,5.04868682239221e-10,0.0,9.340208999812603
20300818,13,qualified,3,True,16,0.0006293663385992009,7.239776204736994e-10,0.0,1.7249460620805621
20300818,14,qualified,3,True,8,0.003253387627718873,3.7285758823980154e-10,0.0,1.7304145651869476
20300818,15,qualified,3,True,15,0.0038700084560848156,9.328204602765468e-10,0.0,3.0438663559034467
20300818,16,qualified,3,True,12,0.0011984151718047354,9.401472141019614e-10,0.0,2.5982268759980798
20300818,17,qualified,3,True,32,0.010004749468128637,8.693040654065048e-10,0.0,4.025277748703957
20300818,18,qualified,3,True,10,0.0009543564021549727,9.081638624724186e-10,0.0,2.878199263010174
20300818,19,qualified,3,True,7,0.0006759559076177644,7.98640833977705e-10,0.0,6.214751287829131
20300818,20,random,5,True,5,0.0012734725548541733,5.844909692055694e-10,0.0,1.2805846282280982
20300818,21,random,5,True,7,0.0018698938812978256,9.850762514550495e-10,0.0,33.24677849188447
20300818,22,random,5,True,11,0.01259999630115199,6.33982322206309e-10,0.0,23.862027685157955
20300818,23,random,5,True,24,0.016203884522734996,9.213355537024396e-10,0.0,3.383304968010634
20300818,24,random,5,True,13,0.0033391643064142277,8.099820457762871e-10,0.0,3.8009483250789344
20300818,25,random,5,True,8,0.002240726548281498,7.490050003122348e-10,0.0,1.6006504497490823
20300818,26,random,5,True,22,0.0020096175553644107,2.9007652757823886e-10,0.0,1.515132363885641
20300818,27,random,5,True,14,0.004684528750645508,7.128245691334261e-10,0.0,2.681059269234538
20300818,28,random,5,True,17,0.0017260102537377765,9.86974433966788e-10,0.0,21.99601372005418
20300818,29,random,5,True,8,0.0014551471142070652,5.348771681500177e-10,0.0,6.679449880030006
20300818,30,qualified,5,True,4,0.0005995688246819992,6.922833178479601e-10,0.0,3.851588743273169
20300818,31,qualified,5,True,26,0.0011127152104227615,1.3664099239210016e-10,0.0,20.40001795720309
20300818,32,qualified,5,True,20,0.0024675117083706737,9.40362687016403e-10,0.0,1.753488302230835
20300818,33,qualified,5,True,12,0.020969244689815085,5.054000339907067e-10,0.0,6.829327777959406
20300818,34,qualified,5,True,12,0.005308972336895584,9.206186477482924e-10,0.0,2.821188359055668
20300818,35,qualified,5,True,8,0.002506712559333426,2.2356839033508006e-10,0.0,2.01526063028723
20300818,36,qualified,5,True,29,0.003918672860459481,1.0148664982493466e-10,0.0,4.9051679889671504
20300818,37,qualified,5,True,14,0.005337328139881979,4.427158899501855e-10,0.0,39.70557780424133
20300818,38,qualified,5,True,14,0.0025798409839701024,2.809720681924375e-10,0.0,4.291569061111659
20300818,39,qualified,5,True,16,0.002805222927950643,1.2144901721800177e-10,0.0,5.2819070387631655
20300818,40,random,8,True,11,0.023399696399931745,9.034946881065213e-10,0.0,15.316714707296342
20300818,41,random,8,True,9,0.003631094822486752,3.420809605595189e-10,0.0,14.653129012789577
20300818,42,random,8,True,17,0.004998446827874715,8.344068279017914e-10,0.0,3.9126520473510027
20300818,43,random,8,True,9,0.0075421124923475275,9.842261144922556e-10,0.0,2.82286493293941
20300818,44,random,8,True,14,0.004103284938817362,4.840527218694393e-10,0.0,43.54827547585592
20300818,45,random,8,True,17,0.02194647161204628,2.6305488688624227e-10,0.0,6.1485155201517045
20300818,46,random,8,True,16,0.006096603670056719,8.408471176883739e-10,0.0,18.368834268301725
20300818,47,random,8,True,10,0.003741306438371048,5.262672378920652e-10,0.0,4.239161608275026
20300818,48,random,8,True,11,0.022271896353679783,7.779353419877901e-10,0.0,9.580365579109639
20300818,49,random,8,True,10,0.009191504887769365,3.48992676210631e-10,0.0,19.699861033353955
20300818,50,qualified,8,True,10,0.009165126440774808,3.1720440580706707e-10,0.0,10.914766128640622
20300818,51,qualified,8,True,8,0.023057710304730257,3.7593485820371206e-10,0.0,1.5731507390737534
20300818,52,qualified,8,True,11,0.006243023346810848,9.264662801177007e-10,0.0,1.1940114838071167
20300818,53,qualified,8,True,3,0.0027168441608198543,9.503865147935803e-10,0.0,3.31258375197649
20300818,54,qualified,8,True,16,0.0063638429017603,1.0429606868269276e-10,0.0,4.57342827366665
20300818,55,qualified,8,True,7,0.00804555778085363,6.618094421650735e-10,0.0,8.297123419586569
20300818,56,qualified,8,True,11,0.004435080672885675,8.437136461812079e-10,0.0,5.944377614650875
20300818,57,qualified,8,True,13,0.007047394337780662,9.90828443756058e-11,0.0,1.6952819842845201
20300818,58,qualified,8,True,10,0.019114094912072624,5.494034230166381e-10,0.0,10.05770361982286
20300818,59,qualified,8,True,9,0.005479487090488585,5.387119737645473e-10,0.0,2.250901421997696
20300818,60,random,10,True,5,0.019258915330032707,2.3103910156837558e-10,0.0,2.961386265233159
20300818,61,random,10,True,9,0.005853990051611807,9.93964878362139e-10,0.0,3.014484410174191
20300818,62,random,10,True,7,0.008412779698713707,7.327106117351529e-10,0.0,1.406309065874666
20300818,63,random,10,True,17,0.00535570391112583,5.049158146203576e-10,0.0,3.7589211431331933
20300818,64,random,10,True,14,0.005304531351994768,6.504577689431924e-10,0.0,33.4077221788466
20300818,65,random,10,True,13,0.006234320461642866,1.4136138221261628e-10,0.0,2.4640702470205724
20300818,66,random,10,True,17,0.007106778562405812,3.4607790157694897e-10,0.0,4.633099754806608
20300818,67,random,10,True,8,0.00393527682307686,6.598717228076403e-10,0.0,3.043006162624806
20300818,68,random,10,True,14,0.020164720571665636,2.833797166350325e-10,0.0,3.1730207591317594
20300818,69,random,10,True,16,0.008643251332966492,5.343178713674959e-10,0.0,4.754634995013475
20300818,70,qualified,10,True,11,0.020659605196978133,8.453001184309638e-10,0.0,1.8222320890054107
20300818,71,qualified,10,True,8,0.006549173990213926,9.865704879274623e-10,0.0,2.4966262439265847
20300818,72,qualified,10,True,10,0.004406288999522148,1.8553998451308592e-10,0.0,1.247557566035539
20300818,73,qualified,10,True,13,0.00654666298874825,7.608521819180818e-10,0.0,4.026191392913461
20300818,74,qualified,10,True,5,0.009013573591683671,5.571142259934853e-10,0.0,1.5394681370817125
20300818,75,qualified,10,True,17,0.009669596419604187,9.900557762909246e-10,0.0,4.204804245382547
20300818,76,qualified,10,True,13,0.008733001620373366,5.42986909468549e-10,0.0,3.3327063634060323
20300818,77,qualified,10,True,7,0.008190839181204501,8.806349000625191e-10,0.0,1.289689838886261
20300818,78,qualified,10,True,18,0.025829145514977808,7.330912117708066e-10,0.0,7.019716226030141
20300818,79,qualified,10,True,7,0.007798958259137222,7.18880806254276e-10,0.0,10.33822264475748
20300818,80,random,15,True,2,0.009792316917544633,8.468790254032183e-10,0.0,5.775777124799788
20300818,81,random,15,True,4,0.03222928588543998,9.387993111219164e-10,0.0,2.926123277284205
20300818,82,random,15,True,10,0.011347203302599232,5.167866632849735e-10,0.0,4.2057904582470655
20300818,83,random,15,True,4,0.010526693855506065,9.657764513911814e-10,0.0,3.161253470927477
20300818,84,random,15,True,5,0.008313581410396356,9.003463256471627e-10,0.0,2.9680287302471697
20300818,85,random,15,True,5,0.008339503659684569,8.209186894305484e-10,0.0,3.5899617318063974
20300818,86,random,15,True,7,0.023837508697439044,4.1063119280084636e-10,0.0,4.773156438022852
20300818,87,random,15,True,18,0.007813830432273183,1.2789204555419113e-10,0.0,22.00907254125923
20300818,88,random,15,True,6,0.01320355899379378,9.603863357316207e-10,0.0,2.627890871837735
20300818,89,random,15,True,9,0.011377381716693263,5.98193740896862e-10,0.0,4.255309978034347
20300818,90,qualified,15,True,11,0.012378204862442375,4.5745127242586346e-10,0.0,1.8069089837372303
20300818,91,qualified,15,True,5,0.011951142259295885,2.883841727482062e-10,0.0,2.344039727933705
20300818,92,qualified,15,True,8,0.01402247391854443,5.331951681873532e-10,0.0,1.858422410208732
20300818,93,qualified,15,True,13,0.02984348596943761,7.880138502841784e-10,0.0,1.861175550147891
20300818,94,qualified,15,True,16,0.03010582535236504,1.5102248882981593e-09,0.0,4.271106690168381
20300818,95,qualified,15,True,8,0.005995825782828087,4.6070833804541585e-10,0.0,1.7260426902212203
20300818,96,qualified,15,True,13,0.027010705748424763,3.230092054045254e-10,0.0,3.0773234870284796
20300818,97,qualified,15,True,5,0.012534697153749736,5.876363651376078e-10,0.0,2.821742788888514
20300818,98,qualified,15,True,9,0.012314764720397043,1.4758262638401588e-10,0.0,1.884058432187885
20300818,99,qualified,15,True,6,0.025787011625095127,6.512308712843848e-10,0.0,2.3759583071805537
20300818,100,random,20,True,8,0.034212386858853874,3.826206186804173e-10,0.0,3.4933086610399187
20300818,101,random,20,True,10,0.030788296128430658,8.990363044403819e-10,0.0,4.880545860622078
20300818,102,random,20,True,6,0.019131852379232046,2.716608958182448e-10,0.0,3.2384986812248826
20300818,103,random,20,True,4,0.015480183581795395,4.6408255927243235e-10,0.0,3.600727078039199
20300818,104,random,20,True,4,0.03622753737214087,8.768588800565678e-10,0.0,3.09082699008286
20300818,105,random,20,True,8,0.037558634568109935,2.3179419155614918e-10,0.0,6.991715419106185
20300818,106,random,20,True,8,0.03547316066267993,7.624841093680199e-10,0.0,3.07972102612257
20300818,107,random,20,True,7,0.03216046576039974,9.040748136721541e-10,0.0,2.122144101187587
20300818,108,random,20,True,12,0.03423848608378016,6.35958306636316e-10,0.0,2.933481600135565
20300818,109,random,20,True,11,0.037918159346296804,6.551631138490472e-10,0.0,2.470453878864646
20300818,110,qualified,20,True,6,0.018846774599024015,8.14715307278112e-10,0.0,2.2813971862196922
20300818,111,qualified,20,True,2,0.03552245729342897,6.579111595559931e-10,0.0,1.9133094600401819
20300818,112,qualified,20,True,3,0.03517221321351538,2.9128908217710026e-10,0.0,2.0992166181094944
20300818,113,qualified,20,True,5,0.0349506729528386,4.378531875019824e-10,0.0,2.8279976439662278
20300818,114,qualified,20,True,7,0.035560544121926566,6.766776093603128e-10,0.0,2.3638919950462878
20300818,115,qualified,20,True,11,0.016805875976365275,8.951053072494419e-10,0.0,3.895065245218575
20300818,116,qualified,20,True,7,0.03904668346698514,9.166011434435368e-10,0.0,3.11095539201051
20300818,117,qualified,20,True,7,0.035658437340118504,6.695703172094123e-10,0.0,2.2798589267767966
20300818,118,qualified,20,True,13,0.03629741058216486,7.359783690093811e-10,0.0,6.7540941489860415
20300818,119,qualified,20,True,11,0.014659124028369079,1.1113772965203542e-10,0.0,1.8046250049956143
20300818,120,all,30,True,6,0.04456131590836754,1.7908622238771822e-10,0.0,3.194041185081005
