seed,subset_id,protocol,sample_size,repeat,mixed_indices,rank,augmented_intercept_rank,condition_number,model,fit_success,fit_error,fit_seconds,profile_index,task_error_mean_mm_equiv,task_endpoint_error_mean_mm_equiv,generator_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,switch_detected,switch_absolute_error
20300818,0,random,3,0,"[1, 8, 11]",3,3,5.842135179342804,Pdiag finite,True,,1.6447997358627617,0,3.366083162566821,1.6924216372655319,0.26926800059281836,1.1125751676881432,0.970501287934725,0.02520077752164384,True,0.004953997917487962
20300818,0,random,3,0,"[1, 8, 11]",3,3,5.842135179342804,Full operator,True,,0.0013595940545201302,1,8.094087520815624,6.158505483379999,0.43643375550508595,0.5457594084740994,0.8201184937487037,0.01039377699363644,True,0.008514920423829841
20300818,0,random,3,0,"[1, 8, 11]",3,3,5.842135179342804,Generic RBF,True,,0.39950702572241426,2,31.739215215911127,32.146767418844775,0.7600358966460735,0.6002513275098507,0.22381272812384426,0.001954437649350513,False,
20300818,1,random,3,1,"[9, 12, 16]",3,3,2.4630107919009743,Pdiag finite,True,,2.559007948730141,3,1.8443250965450266,0.6415673511065787,0.12047419274465676,0.9833768610388309,0.9983259413382307,0.03523505958552331,True,0.009715366749195709
20300818,1,random,3,1,"[9, 12, 16]",3,3,2.4630107919009743,Full operator,True,,0.0013733753003180027,4,6.632375306136277,4.374553049818718,0.34594520993915007,0.856740800332197,0.291195191527406,-0.0005055302571743042,False,
20300818,1,random,3,1,"[9, 12, 16]",3,3,2.4630107919009743,Generic RBF,True,,0.265200266148895,5,25.000241583146625,25.156386658630243,0.7417206392157127,0.2782930302862877,0.20658821630654944,0.0002138230726403968,False,
20300818,2,random,3,2,"[6, 10, 14]",3,3,26.679983773723798,Pdiag finite,True,,2.902509086765349,6,2.4052456817411896,1.8372562792856248,0.19823408889592137,0.8376286698482878,1.005808522387443,0.013103384102780013,True,0.0016483774563983422
20300818,2,random,3,2,"[6, 10, 14]",3,3,26.679983773723798,Full operator,True,,0.0013675037771463394,7,6.904209322643622,5.776028602459695,0.5089324075798288,0.5280998295013695,0.9497449337525239,0.00404386865551279,True,0.009599706445261647
20300818,2,random,3,2,"[6, 10, 14]",3,3,26.679983773723798,Generic RBF,True,,0.20099522778764367,8,16.823538901278965,18.711018488790103,0.5537056595831812,0.6397728933288881,0.5777802096207881,0.0013930499098040916,True,0.04886894359672256
20300818,3,random,3,3,"[9, 14, 27]",3,3,2.3641634164455234,Pdiag finite,True,,20.348244804888964,9,1.9540110638122352,0.7579836704531344,0.14065120265207695,1.0242377308692108,0.9996330116864754,0.025024799315183394,True,0.006808800529939152
20300818,3,random,3,3,"[9, 14, 27]",3,3,2.3641634164455234,Full operator,True,,0.001356320921331644,10,7.323452980880701,5.29335209167138,0.3928546497146213,0.7781429946488783,0.4475075145544014,0.003707764590994772,False,
20300818,3,random,3,3,"[9, 14, 27]",3,3,2.3641634164455234,Generic RBF,True,,0.33911031298339367,11,18.14391206531923,16.729771229251696,0.5162801475913413,0.8693884255970925,0.3837482171777205,0.0018853090927801646,False,
20300818,4,random,3,4,"[2, 10, 27]",3,3,8.187990437428704,Pdiag finite,True,,9.715353901963681,12,2.2133813624986454,1.4139680732455782,0.15974049915910216,1.0612386208384001,1.006661395739376,0.017963488970059453,True,0.004465839420083717
20300818,4,random,3,4,"[2, 10, 27]",3,3,8.187990437428704,Full operator,True,,0.003058662172406912,13,7.930165683361178,5.337934563458937,0.41400257247013117,0.7632340066601047,0.4834868776719126,0.004391093618766338,False,
20300818,4,random,3,4,"[2, 10, 27]",3,3,8.187990437428704,Generic RBF,True,,0.5357028730213642,14,18.59350850471207,19.59485169807669,0.5376653535299055,0.4469960654592773,0.27946638154029524,0.0013910394251483882,False,
20300818,5,random,3,5,"[1, 17, 21]",3,3,8.659779477170954,Pdiag finite,True,,21.815936146769673,15,2.8828591287888705,0.8222836818639083,0.2117587363787705,1.0137826867248598,0.9977803941909028,0.02227087074538967,True,0.001945391297016208
20300818,5,random,3,5,"[1, 17, 21]",3,3,8.659779477170954,Full operator,True,,0.0014092219062149525,16,7.698242130756387,5.665711969324783,0.38081792331037556,0.6962412258744555,0.5698884890363628,-0.0007441923972608379,True,0.04948465166899618
20300818,5,random,3,5,"[1, 17, 21]",3,3,8.659779477170954,Generic RBF,True,,0.12162345414981246,17,19.124214823978885,20.348132919388995,0.6212473268259635,0.8922377310708192,0.20770485844136044,0.00011843121301242093,False,
20300818,6,random,3,6,"[0, 14, 18]",3,3,5.343911493942582,Pdiag finite,True,,4.469551848247647,18,2.467492592558834,0.5068105098146516,0.2154882906235389,0.9774848400062632,1.001043969440222,0.002615346349835669,True,0.010454189142291237
