seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,task_endpoint_error_mean_mm_equiv,generator_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,switch_detected,switch_absolute_error,n_components
20260818,0,random,3,0,TP-GMM SE(2),True,,0.321556277000127,11.076286269579409,2.0738558553972988,0.3431852570345703,0.8146729761119046,0.3838309208403078,0.3747290480318701,False,,2
20260818,1,random,3,1,TP-GMM SE(2),True,,0.2811264070001016,10.193640869280845,0.2181875307570521,0.31388549728540127,0.9982281382111278,0.34030496380094394,0.3415950828673102,False,,2
20260818,2,random,3,2,TP-GMM SE(2),True,,0.34417593000034685,9.654302008120066,0.28766801522012514,0.2957138985783216,0.9649071902333856,0.3557085992064432,0.35178437338200574,False,,2
20260818,3,random,3,3,TP-GMM SE(2),True,,0.30081574899986663,10.207833722513225,0.30157413876155525,0.35161455848445605,0.9908587410016947,0.32794208333088676,0.3225634349676568,False,,2
20260818,4,random,3,4,TP-GMM SE(2),True,,0.32576574199993047,9.697655440154746,0.26800979094181165,0.31556032697007486,0.9947249522339763,0.31604040544056317,0.3201961331197138,False,,2
20260818,5,random,3,5,TP-GMM SE(2),True,,0.30274504800036084,9.759198119998588,0.749743432547366,0.29966322823844727,0.9378575873292787,0.34103876425540974,0.33900757444801466,False,,2
20260818,6,random,3,6,TP-GMM SE(2),True,,0.28454222699974707,8.754015194335086,1.6191686109983792,0.3165348352550144,0.8604138878419345,0.4240657997792157,0.42091842870648216,False,,2
20260818,7,random,3,7,TP-GMM SE(2),True,,0.31603623999990305,12.350651500889622,3.0127279291920175,0.35400507820731125,0.7925112695312273,0.3754772683893902,0.37047182328109346,False,,2
20260818,8,random,3,8,TP-GMM SE(2),True,,0.2929290019997097,10.646195225948325,3.096412372236065,0.3470081407078346,0.7724231429135482,0.44279192977537024,0.4229612470467664,False,,2
20260818,9,random,3,9,TP-GMM SE(2),True,,0.2591565829998217,10.993787779820892,2.3618547267783434,0.32656328190794376,0.8216797908117481,0.36685240276196357,0.37036849831219093,False,,2
20260818,10,qualified,3,0,TP-GMM SE(2),True,,0.3010732260004261,9.999272978002471,0.2798012059078303,0.3138461426910986,0.9942718435097287,0.3251020445084439,0.3292069302530962,False,,2
20260818,11,qualified,3,1,TP-GMM SE(2),True,,0.29906292600026063,9.4697447596186,1.3576619302255761,0.3166318371218657,0.8767809534011493,0.39493011656039306,0.4005429801266085,False,,2
20260818,12,qualified,3,2,TP-GMM SE(2),True,,0.2520610659998965,9.926220412861044,0.22657360764788692,0.29435857634716056,0.9902980705456255,0.3539141176356995,0.3565232968388018,False,,2
20260818,13,qualified,3,3,TP-GMM SE(2),True,,0.3080556139998407,11.517499933272894,0.3880411148552977,0.3031830390661913,0.9905095342805421,0.4396499024025821,0.4433596986526105,False,,2
20260818,14,qualified,3,4,TP-GMM SE(2),True,,0.3518106909996277,9.469774153953436,1.266546913700771,0.3013682874001244,0.9199730441538517,0.3484847344519961,0.34171468986661657,False,,2
20260818,15,qualified,3,5,TP-GMM SE(2),True,,0.2821506350001073,9.142009466530958,2.983761930208253,0.32043824153330935,0.8216738833923855,0.4934160141056276,0.49546084359259585,False,,2
20260818,16,qualified,3,6,TP-GMM SE(2),True,,0.2974219500001709,9.03955993098538,0.289297373289318,0.30083963091158833,0.9916606321168797,0.30696744599497183,0.3126456987541844,False,,2
20260818,17,qualified,3,7,TP-GMM SE(2),True,,0.3003105770003458,8.890843423301277,0.28045348980661516,0.2966809536206925,0.9929291721888456,0.3156546599007629,0.31806122459352254,False,,2
20260818,18,qualified,3,8,TP-GMM SE(2),True,,0.29027269900007013,10.462473338543264,0.5850719486927606,0.3071422152320804,0.9799402381438027,0.3431560293260399,0.3484463281911966,False,,2
20260818,19,qualified,3,9,TP-GMM SE(2),True,,0.2877500829999917,9.024590201521763,1.4615346275009335,0.32337069180652206,0.8483358390611191,0.4189525704629898,0.41676761267046086,False,,2
20270818,0,random,3,0,TP-GMM SE(2),True,,0.3058433569999579,11.458977808325354,2.848849120626885,0.31411165156766346,0.871438507362291,0.3965497253374141,0.4013553201019875,False,,2
20270818,1,random,3,1,TP-GMM SE(2),True,,0.3394858300002852,10.77200197957086,0.3227204136297787,0.3185059012167098,0.9971467306208077,0.3451737233551242,0.3459519117210324,False,,2
20270818,2,random,3,2,TP-GMM SE(2),True,,0.2944194570000036,9.573254725206265,0.6446703062262061,0.29794793398838754,0.9453627211314071,0.3577223626814195,0.3482075166784274,False,,2
20270818,3,random,3,3,TP-GMM SE(2),True,,0.3216811060001419,9.001506899923296,0.2379468566771604,0.29946631931158035,0.9971955037828619,0.3276725066311656,0.3254317405498032,False,,2
20270818,4,random,3,4,TP-GMM SE(2),True,,0.33881542500012074,9.57251866060792,0.20612166270310386,0.29569011858302874,0.995384844873872,0.31865831790326793,0.3209281410479886,False,,2
20270818,5,random,3,5,TP-GMM SE(2),True,,0.27435049599989725,10.148273566874778,6.7997646213334955,0.39879666493958854,0.6430692925015955,0.5094133201180618,0.5224269032773443,False,,2
20270818,6,random,3,6,TP-GMM SE(2),True,,0.2988384559998849,9.822432712491313,0.2894473100181075,0.303016833457512,0.9844923997189479,0.33184181660504175,0.33018036603024986,False,,2
20270818,7,random,3,7,TP-GMM SE(2),True,,0.32461035999995147,11.035794972464045,2.6812260258519904,0.31430059057057774,0.8726280162256992,0.3921959501886907,0.3967797406736522,False,,2
20270818,8,random,3,8,TP-GMM SE(2),True,,0.34111957299955975,10.884305611477917,0.47426130085408486,0.3089289480103622,0.9643787439066143,0.3088108856900371,0.32641413337021374,False,,2
