basis,sample_size,mean,std
rotated-2,8,0.91931265862525,0.01543101899935928
local,8,0.8936721670072294,0.014500757900373222
rotated-1,8,0.9268628521182298,0.013883421940740362
rotated-2,15,0.9231833548922411,0.005968426398146528
rotated-1,15,0.9344973553580284,0.004304379758892692
local,15,0.8895315126764581,0.006701584076308061
rotated-1,30,0.9343079582227527,0.002573612807554243
local,30,0.8872840870440144,0.0038792217705476183
rotated-2,30,0.9219845389312042,0.0040154986576726465
