model,task,sample_size,local,rotated-1,rotated-2,r1/local,r2/local
Frame-weighted (SE(3)),circular_honest,8,0.29841028190221225,0.48469594387033166,0.2771085930906556,1.6242601990140688,0.9286161030519146
Frame-weighted (SE(3)),circular_honest,15,0.2638118956053289,0.3810344030594223,0.2651439631206322,1.444341249984656,1.005049308001244
Frame-weighted (SE(3)),circular_honest,30,0.2641293017822732,0.39647978247985727,0.2568015233499972,1.5010821586416911,0.972256851538886
Frame-weighted (SE(3)),keyed,8,0.22080655577961875,0.3718053964255888,0.23398275475119265,1.6838512566478236,1.0596730424287073
Frame-weighted (SE(3)),keyed,15,0.225513847618419,0.3218066490243296,0.24492457741975673,1.426992853976945,1.0860733387609158
Frame-weighted (SE(3)),keyed,30,0.19635616358879585,0.3060838438708078,0.21081959177606088,1.5588196381336972,1.0736591504076949
Full operator (SE(3)),circular_honest,8,0.21853197858818396,0.3365706888770264,1.0206526641898974,1.5401438775753837,4.670495690304816
Full operator (SE(3)),circular_honest,15,0.06201940075686352,0.1129577549846901,0.10161089268602636,1.8213293518833198,1.6383726938022913
Full operator (SE(3)),circular_honest,30,0.06433789834731532,0.1196578636061622,0.10050365923538003,1.8598348202207828,1.562122198845089
Full operator (SE(3)),keyed,8,0.40341303681894397,0.49459722112205434,1.242069889061126,1.2260318234188223,3.078903693483213
Full operator (SE(3)),keyed,15,0.1552628710909597,0.18918675889592076,0.22472665242273326,1.218493240312985,1.4473946722979163
Full operator (SE(3)),keyed,30,0.12164791744401714,0.15632070278602697,0.1679517513414309,1.285025720707191,1.380638114242465
Pdiag finite (SE(3)),circular_honest,8,0.07790433197687628,0.3206722997516833,0.22839489509477687,4.116231942619904,2.9317354927396013
Pdiag finite (SE(3)),circular_honest,15,0.07140001804703905,0.2389973799010766,0.25023286683116325,3.3473013934481464,3.5046611145995414
Pdiag finite (SE(3)),circular_honest,30,0.06977623524298443,0.23981668921830845,0.2011731017114721,3.436939358840237,2.8831177407453894
Pdiag finite (SE(3)),keyed,8,0.1049653770097887,0.35357187414447594,0.2473554893476645,3.368461908268124,2.356543618421882
Pdiag finite (SE(3)),keyed,15,0.10203557874543757,0.26556603477739255,0.2514589327179408,2.602680731982099,2.4644240353189995
Pdiag finite (SE(3)),keyed,30,0.09494636546358662,0.2694339147144988,0.20166205247545246,2.8377485899429273,2.123957578479325
Pdiag pointwise (SE(3)),circular_honest,8,0.2536195813273228,0.46654975632652335,0.3677978572769996,1.8395652018855424,1.450195033648911
Pdiag pointwise (SE(3)),circular_honest,15,0.21966886022679197,0.32741921986274886,0.3034074664043869,1.4905126722317972,1.381203808728925
Pdiag pointwise (SE(3)),circular_honest,30,0.14402969696265036,0.3072425410349855,0.1800770322993886,2.133188831985527,1.2502771032427153
Pdiag pointwise (SE(3)),keyed,8,0.31662697289938113,0.5157781075910797,0.4461788361974101,1.628977161572983,1.4091624352521555
Pdiag pointwise (SE(3)),keyed,15,0.3109643947745946,0.4091271021736209,0.45128604654918064,1.3156718551980218,1.4512466833262359
Pdiag pointwise (SE(3)),keyed,30,0.17948482635151522,0.3438348261152877,0.2503536693243437,1.915676289213988,1.3948458731215203
