phase,phase_label,alpha_x_mean,alpha_x_std,alpha_y_mean,alpha_y_std,alpha_yaw_mean,alpha_yaw_std,n_x,n_y,n_yaw
0,Reach,-4.470348358154297e-06,1.897691897256704e-05,9.106265174018013e-06,3.8761764843014955e-05,1.6314247954404353e-06,2.4222098310127572e-05,6,6,12
1,Grasp,0.0009144345919291178,0.0028798934556964377,-0.0005657474199930826,0.041365097976816756,-0.0017103015408372797,0.037846480781141424,6,6,12
2,Lift,0.0011798408296373158,0.009352774688144232,0.006342265341016981,0.032012222425233085,-0.0010238420750284638,0.04124640681494806,6,6,12
3,Align keyed,1.0015312168333266,0.009821757711554512,0.9973569048775569,0.02542304612261725,1.000195241753447,0.005810900178982973,6,6,12
4,Enter key,1.0007126463784115,0.009035118699439227,1.0127354827192094,0.027705203373441456,1.000300359863673,0.0006083278505311576,6,6,12
5,Unlock yaw,1.0031054417292278,0.00878296314032042,1.013509101337857,0.02768807511912106,0.06921138028521709,0.1960238335794022,6,6,12
6,Circular insert,1.0046445661120946,0.016158846169028775,1.0445555051167805,0.08273426335253802,0.04051974512239783,0.14198327828837043,6,6,12
