global_progress,alpha_x,alpha_y,alpha_yaw,alpha_x_std,alpha_y_std,alpha_yaw_std
0.0,0.0,0.0,-2.27180945319019e-37,0.0,0.0,0.0
0.005952380952380952,1.3797371455225178e-07,0.0,1.0493157884285216e-09,1.0864061131461065e-07,0.0,1.0700963362242163e-09
0.011904761904761904,0.0,0.0,-6.704940489453462e-09,0.0,0.0,4.741108887544792e-09
0.017857142857142856,0.0,1.241763432820638e-07,-6.704940489453462e-09,0.0,1.756118687953918e-07,4.741108887544792e-09
0.023809523809523808,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.02976190476190476,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.03571428571428571,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.041666666666666664,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.047619047619047616,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.05357142857142857,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.05952380952380952,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.06547619047619048,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.07142857142857142,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.07738095238095237,0.0,1.6556845770941834e-07,-6.704940489453462e-09,0.0,2.3414915839385563e-07,4.741108887544792e-09
0.08333333333333333,4.194400928741398e-06,9.023480944854907e-06,-1.2762880036400223e-06,5.93177867945639e-06,1.2644235222622989e-05,1.8181874605150774e-06
0.08928571428571429,3.890858756171332e-06,9.230441517300074e-06,-1.2810868325892857e-06,5.502505222255609e-06,1.3141719293928363e-05,1.8089067474317255e-06
0.09523809523809523,2.0420109785189584e-06,9.27183363172743e-06,1.7633961327168445e-06,2.8878396203362656e-06,1.2762740148836877e-05,3.988708241288184e-06
0.10119047619047618,-3.60111395517985e-06,9.423604717858266e-06,2.5720867691964834e-06,6.766650732148231e-06,1.2659778178878712e-05,4.793581359092866e-06
0.10714285714285714,-4.056427213880751e-06,9.189049402872719e-06,2.566816490524551e-06,5.913135551223679e-06,1.2820067356133725e-05,4.797889706895236e-06
0.1130952380952381,-4.25648910038243e-06,3.3881317890172014e-21,3.0905272593469576e-06,5.5436681358025155e-06,2.230570313882079e-05,4.088390392659506e-06
0.11904761904761904,-8.278422885470918e-07,5.5189485697542635e-08,4.213630693797482e-07,8.629701627666357e-07,3.9024859717771385e-07,6.040381134317776e-07
0.125,-7.243620024787057e-07,-5.587935447692871e-07,-6.178624265509304e-09,1.4713135516623837e-06,6.472276222007096e-07,5.030243454942462e-09
0.13095238095238096,-9.120062545596597e-06,1.0651570779408713e-05,2.8015186012401506e-06,6.614656165440878e-06,1.5180670435577553e-05,4.544616505027647e-06
0.1369047619047619,-3.097509896416501e-06,9.23734020293517e-06,2.588827090823035e-06,5.831744322879123e-06,1.2612627736709646e-05,4.810929803212194e-06
0.14285714285714285,-4.470348358154296e-06,9.10626517401801e-06,2.5881704872004942e-06,5.749780388072244e-06,1.358065118684363e-05,4.81985105027616e-06
0.14285714285714285,-5.132622188991969e-06,9.27183363172743e-06,2.5786801497786163e-06,5.9096575768705015e-06,1.3118623223265215e-05,4.827728091629815e-06
0.1488095238095238,-4.256489100382429e-06,9.009683573584718e-06,2.5888489855921783e-06,5.180697113570737e-06,1.3444064177635168e-05,4.811145204641554e-06
0.15476190476190474,-4.773890530415967e-06,8.871709859032468e-06,2.5784813751537253e-06,4.722975487175341e-06,1.324893987926438e-05,4.815038642794013e-06
0.16071428571428573,-4.304779900444878e-06,8.650951915317111e-06,2.5698198499994187e-06,4.7527088371936885e-06,1.324525025169341e-05,4.807084643393747e-06
0.16666666666666669,-4.663511559020881e-06,8.913101973459823e-06,2.5795295093830218e-06,4.814946594014942e-06,1.336605718612324e-05,4.820832935840428e-06
0.17261904761904762,-5.001547160074812e-06,9.589173175567681e-06,2.6949794384438133e-06,5.705767809094672e-06,1.4001402348660721e-05,5.011654797301125e-06
0.17857142857142858,-8.5681676864624e-06,1.8129746119181306e-05,5.1569002089258405e-06,1.169149562654676e-05,2.6259895967975376e-05,9.606653499074473e-06
0.1845238095238095,-8.547471629248723e-06,1.8371200120110344e-05,5.147843457084971e-06,1.140241942405226e-05,2.615654869865287e-05,9.6027778776667e-06
0.19047619047619047,-8.940696716308592e-06,1.8157340862030085e-05,5.147943904333349e-06,1.1590580434069782e-05,2.6147005494739547e-05,9.617427689341682e-06
0.19642857142857142,-8.071462313334147e-06,1.7653736803266733e-05,5.1616322850348266e-06,1.0800605833354956e-05,2.5624711058265684e-05,9.61914149095801e-06
0.20238095238095236,-9.10626517401801e-06,1.8171138233608668e-05,5.140511144631642e-06,1.1087731169685375e-05,2.6431968478112273e-05,9.618709725903236e-06
0.20833333333333331,-9.271833631727428e-06,1.8040063204383113e-05,5.156475209709612e-06,1.0682106417418941e-05,2.5907696263521625e-05,9.609900052050587e-06
0.21428571428571427,-8.775128258599176e-06,1.7964177661471895e-05,5.14844771833154e-06,1.175127887608143e-05,2.5932217498888893e-05,9.629295722023221e-06
0.2202380952380952,-8.03696888485028e-06,1.8426389605499493e-05,5.1441129875206045e-06,1.1327612571879764e-05,2.6111285839963757e-05,9.61282783854021e-06
0.2261904761904762,-9.092467802747825e-06,1.8874804178565294e-05,5.141950262819737e-06,1.174769819167891e-05,2.6375601832111687e-05,9.616928149186676e-06
