model,task_key,sample_size,mean,std,count
TP-GMM SE(3),microwave_door_revolute,30,0.0024197936676849203,0.0002214791261151964,18
Full operator (SE(3)),microwave_door_revolute,30,5.631807504236357e-06,9.098461299462108e-06,18
Pdiag pointwise (SE(3)),microwave_door_revolute,30,3.969475176789069e-06,3.9583340375594995e-06,18
Pdiag finite (SE(3)),microwave_door_revolute,30,1.3643660317353338e-05,2.1796858568701835e-07,18
Frame-weighted (SE(3)),plate_front_push,8,0.08342017623118933,0.0020688734782356713,18
Phase scalar GP (SE(3)),plate_front_push,8,0.08342042138135433,0.0020687510233047515,18
TP-GMM additive (SE(3)),plate_front_push,8,0.011642690687653457,0.014236467958267985,18
TP-GMM SE(3),plate_front_push,8,0.01570331601735859,0.014377238337870295,18
Full operator (SE(3)),plate_front_push,8,0.0013728567567965163,0.0027266822354840323,18
Pdiag pointwise (SE(3)),plate_front_push,8,0.00024019249301891898,0.00038217164330296065,18
Pdiag finite (SE(3)),plate_front_push,8,0.0001120812487448826,0.0002182408427659781,18
Frame-weighted (SE(3)),plate_front_push,15,0.0821402739161296,0.0011697759929771468,18
Phase scalar GP (SE(3)),plate_front_push,15,0.08214060837932136,0.001169692255522218,18
TP-GMM additive (SE(3)),plate_front_push,15,0.006700018198477003,0.012526973243750454,18
TP-GMM SE(3),plate_front_push,15,0.006886629726378534,0.013358697181421382,18
Full operator (SE(3)),plate_front_push,15,0.00010384249758456966,0.00014666307931459108,18
Pdiag pointwise (SE(3)),plate_front_push,15,9.863378480121325e-05,0.00011899769694944851,18
Pdiag finite (SE(3)),plate_front_push,15,1.878560018299535e-05,5.304050808937897e-06,18
Frame-weighted (SE(3)),plate_front_push,30,0.08178206836434158,0.00040370645428503574,18
Phase scalar GP (SE(3)),plate_front_push,30,0.08178239442707153,0.0004036639293722986,18
TP-GMM additive (SE(3)),plate_front_push,30,0.0011544058447510548,0.000585460258281162,18
TP-GMM SE(3),plate_front_push,30,0.0015010073856733441,0.0005589666838631135,18
Full operator (SE(3)),plate_front_push,30,6.951685550880046e-05,5.54780646213746e-05,18
Pdiag pointwise (SE(3)),plate_front_push,30,0.00011595821090774055,6.578251919569661e-05,18
Pdiag finite (SE(3)),plate_front_push,30,1.62612282782653e-05,3.1034982156252497e-06,18
Frame-weighted (SE(3)),bowl_on_stove,8,0.14886214366984332,0.0012035444707466443,18
Phase scalar GP (SE(3)),bowl_on_stove,8,0.14886526866505453,0.0012034539116302873,18
TP-GMM additive (SE(3)),bowl_on_stove,8,0.009416125321409882,0.005773180620413765,18
TP-GMM SE(3),bowl_on_stove,8,0.008223434327248029,0.0040568885865399406,18
Full operator (SE(3)),bowl_on_stove,8,0.005045228569332416,0.006035422747642127,18
Pdiag pointwise (SE(3)),bowl_on_stove,8,0.0008444901226282745,0.0006140641987687955,18
Pdiag finite (SE(3)),bowl_on_stove,8,0.0003233546358309486,0.0003137834398518397,18
Frame-weighted (SE(3)),bowl_on_stove,15,0.14960830496450284,0.002851199154460144,18
Phase scalar GP (SE(3)),bowl_on_stove,15,0.1496112967081402,0.0028509145759728093,18
TP-GMM additive (SE(3)),bowl_on_stove,15,0.002097225137546957,0.000827734345949393,18
TP-GMM SE(3),bowl_on_stove,15,0.0017802276475577875,0.0004258502582704593,18
Full operator (SE(3)),bowl_on_stove,15,0.0003928784873741927,0.000208819109457036,18
Pdiag pointwise (SE(3)),bowl_on_stove,15,0.0002892220890438705,0.0003062808906471824,18
Pdiag finite (SE(3)),bowl_on_stove,15,5.115852896343028e-05,8.003546895233907e-06,18
Frame-weighted (SE(3)),bowl_on_stove,30,0.14735748174686789,0.0005663303676319696,18
Phase scalar GP (SE(3)),bowl_on_stove,30,0.14736066201446657,0.0005662526144586037,18
TP-GMM additive (SE(3)),bowl_on_stove,30,0.004866383751980736,0.0022937173656695296,18
TP-GMM SE(3),bowl_on_stove,30,0.005359360767260653,0.0017830278280124678,18
Full operator (SE(3)),bowl_on_stove,30,0.0002575754450943216,0.00012748138187159387,18
Pdiag pointwise (SE(3)),bowl_on_stove,30,0.00028645107406343644,6.151928422395721e-05,18
Pdiag finite (SE(3)),bowl_on_stove,30,4.712158180907268e-05,4.416904211099371e-06,18
Frame-weighted (SE(3)),bowl_on_plate,8,0.14886214366984332,0.001203544470746647,18
Phase scalar GP (SE(3)),bowl_on_plate,8,0.14886526866521843,0.0012034539116888582,18
TP-GMM additive (SE(3)),bowl_on_plate,8,0.009416125321421751,0.005773180620408973,18
TP-GMM SE(3),bowl_on_plate,8,0.008223434327252256,0.004056888586534303,18
Full operator (SE(3)),bowl_on_plate,8,0.005045228569336228,0.006035422747647353,18
Pdiag pointwise (SE(3)),bowl_on_plate,8,0.0008444901226282771,0.0006140641987687996,18
Pdiag finite (SE(3)),bowl_on_plate,8,0.00032336474645989387,0.0003137812250513253,18
Frame-weighted (SE(3)),bowl_on_plate,15,0.14960830496450284,0.00285119915446014,18
Phase scalar GP (SE(3)),bowl_on_plate,15,0.14961129670832404,0.0028509145758066306,18
TP-GMM additive (SE(3)),bowl_on_plate,15,0.002097225137547249,0.0008277343459475794,18
TP-GMM SE(3),bowl_on_plate,15,0.0017802276475564701,0.0004258502582690749,18
Full operator (SE(3)),bowl_on_plate,15,0.0003928784873741909,0.00020881910945703594,18
Pdiag pointwise (SE(3)),bowl_on_plate,15,0.00028922208904386853,0.00030628089064718033,18
Pdiag finite (SE(3)),bowl_on_plate,15,5.116600378132326e-05,8.009872031294164e-06,18
Frame-weighted (SE(3)),bowl_on_plate,30,0.1473574817468679,0.0005663303676319745,18
Phase scalar GP (SE(3)),bowl_on_plate,30,0.14736066201444992,0.0005662526145304236,18
TP-GMM additive (SE(3)),bowl_on_plate,30,0.00486638375198075,0.0022937173656669262,18
TP-GMM SE(3),bowl_on_plate,30,0.005359360767257428,0.0017830278280200388,18
Full operator (SE(3)),bowl_on_plate,30,0.00025757544509432133,0.0001274813818715909,18
Pdiag pointwise (SE(3)),bowl_on_plate,30,0.0002864510740634355,6.151928422395603e-05,18
Pdiag finite (SE(3)),bowl_on_plate,30,4.711660039539143e-05,4.416138388385064e-06,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,8,0.14886214366984332,0.0012035444707466413,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,8,0.14886526866514416,0.0012034539117897428,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,8,0.009416125321415086,0.005773180620415001,18
TP-GMM SE(3),cream_cheese_in_bowl,8,0.008223434327248827,0.004056888586539342,18
