task_key,family,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_relation_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.0023231240920722485,0.0874088009977363,False,0.2691855918811037,0.2691855918811037,0.2691855918811037,0.2691855918811037,0.2691855918811037,0.2691855918811037
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,Phase scalar GP (SE(3)),True,,0.10263386717997491,0.08740878930462297,False,0.2712325483843789,0.2712325483843789,0.2712325483843789,0.2712325483843789,0.2712325483843789,0.2712325483843789
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM additive (SE(3)),True,,1.3447096380405128,0.0071464325994751695,True,0.9885394866297054,0.13751120390800733,0.0040822813751828805,0.021869129295044143,0.07378302052119867,0.011556804515402419
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM SE(3),True,,2.0935613489709795,0.007690433427874126,True,0.9859657998713411,0.12512541233346502,0.004549804039665078,0.046870402533529365,0.0765840409341747,0.008198945071460795
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,Full operator (SE(3)),True,,0.00022422592155635357,0.007289106416116917,True,0.726593357417912,0.0,0.0,0.0,0.0,0.0
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.006092471070587635,0.00011034405737722176,True,0.9663607432992072,0.0,0.0,0.0,0.0,0.0
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,Pdiag finite (SE(3)),True,,0.43106914311647415,1.3681668831794966e-05,True,1.0088992660655427,5.130699227663794e-06,4.990980284954715e-06,1.9245339176591997e-05,8.740903493910993e-06,8.348424983164671e-06
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,Frame-weighted (SE(3)),True,,0.006844136863946915,0.08340589992984226,False,0.1060995446193319,0.1060995446193319,0.1060995446193319,0.1060995446193319,0.1060995446193319,0.1060995446193319
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,Phase scalar GP (SE(3)),True,,0.24413177580572665,0.08340628607770648,False,0.10690635285576663,0.10690635285576663,0.10690635285576663,0.10690635285576663,0.10690635285576663,0.10690635285576663
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM additive (SE(3)),True,,1.243744886945933,0.040824950925428496,True,0.8299672293406862,0.14823817115733437,0.03685965897567945,0.09753411327522343,0.1439951241962869,0.2061390707126054
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM SE(3),True,,2.2913864450529218,0.039381035246054893,True,0.837888288230948,0.09117882054806366,0.020898576076383336,0.07096322743244388,0.09275987369274574,0.21899059519425412
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,Full operator (SE(3)),True,,0.00023414893075823784,0.0004335668757368614,True,0.9333193286151111,0.0,0.0,0.0,0.0,0.0
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,Pdiag pointwise (SE(3)),True,,0.0059159870725125074,0.0010553441644986033,True,0.895967514881351,0.0,0.0,0.0,0.0,0.0
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,Pdiag finite (SE(3)),True,,0.49082173593342304,0.0005862174426614501,True,0.9336108382556401,7.972898931292557e-07,6.755217578441054e-07,2.3765830476955867e-06,1.3928749131752833e-06,1.148028978913444e-06
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,Frame-weighted (SE(3)),True,,0.006906450027599931,0.08168680736548396,False,0.1936871274799358,0.1936871274799358,0.1936871274799358,0.1936871274799358,0.1936871274799358,0.1936871274799358
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,Phase scalar GP (SE(3)),True,,0.2510212091729045,0.08168712918077692,False,0.1951599742338183,0.1951599742338183,0.1951599742338183,0.1951599742338183,0.1951599742338183,0.1951599742338183
