task_key,family,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_relation_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
drawer_middle_open,prismatic_sliding,20260818,4,qualified,8,1,TP-GMM additive,True,,0.7045697579160333,0.003422818444500352,True,0.9370383780622077,0.001982306947873004,0.00166978329830814
drawer_middle_open,prismatic_sliding,20260818,4,qualified,8,1,TP-GMM SE(2),True,,0.553674906026572,0.0012627814599534028,True,0.9767255780425421,0.0027407729460941716,0.001626236349699366
drawer_middle_open,prismatic_sliding,20260818,0,random,8,0,TP-GMM additive,True,,0.9343160230200738,0.003172847991173187,True,0.9930296347358814,0.0031860339379474827,0.002299710807720005
drawer_middle_open,prismatic_sliding,20260818,0,random,8,0,TP-GMM SE(2),True,,0.7602458661422133,0.0017557133631550834,True,0.9717269906811543,0.0032832202093013804,0.002409862446560519
drawer_middle_open,prismatic_sliding,20260818,7,random,15,1,TP-GMM additive,True,,1.1026558191515505,0.00813749120246125,True,0.9637427234916035,0.0031345962993874904,0.0019269779667929505
drawer_middle_open,prismatic_sliding,20260818,7,random,15,1,TP-GMM SE(2),True,,1.3232806180603802,0.004396099664329052,True,0.9093528238138249,0.002609145769221741,0.0014592230313740704
drawer_middle_open,prismatic_sliding,20260818,2,random,8,2,TP-GMM additive,True,,1.0137345660477877,0.0018866049148555553,True,0.9916100933270167,0.007613865028129241,0.0017014633100489833
drawer_middle_open,prismatic_sliding,20260818,2,random,8,2,TP-GMM SE(2),True,,1.424687050981447,0.004766456197142972,True,0.9947940783989334,0.010974113889100879,0.0032058781741495937
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM additive,True,,0.9488604718353599,0.004144484059385089,True,0.9680760822491224,0.012118059948000314,0.00921855780050776
drawer_middle_open,prismatic_sliding,20260818,3,qualified,8,0,TP-GMM SE(2),True,,2.0954908449202776,0.0008574593567105389,True,0.9500020696860678,0.0034633776849042463,0.00288132487756263
drawer_middle_open,prismatic_sliding,20270818,0,random,8,0,TP-GMM additive,True,,0.6514518570620567,0.003172847991173187,True,0.9930296347358814,0.0031860339379474827,0.002299710807720005
drawer_middle_open,prismatic_sliding,20270818,0,random,8,0,TP-GMM SE(2),True,,0.7891824671532959,0.0017557133631550834,True,0.9717269906811543,0.0032832202093013804,0.002409862446560519
drawer_middle_open,prismatic_sliding,20260818,8,random,15,2,TP-GMM additive,True,,2.291814874857664,0.0017306665708407408,True,0.9384954058259953,0.002245201235501635,0.003171523688706048
drawer_middle_open,prismatic_sliding,20260818,8,random,15,2,TP-GMM SE(2),True,,1.9380778400227427,0.002033491365425135,True,0.9157037228862269,0.0022779200345513255,0.0024313916840909165
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM additive,True,,1.8784518991596997,0.0012444669779441211,True,0.9812154992917127,0.00815139725492659,0.002635683351587783
drawer_middle_open,prismatic_sliding,20260818,5,qualified,8,2,TP-GMM SE(2),True,,2.698958551045507,0.0006817732990838954,True,0.9786767474059821,0.007495708589843958,0.0026647685716008635
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,TP-GMM additive,True,,2.356438286136836,0.0022176140435721608,True,0.980993532126162,0.004266720731225253,0.005829915822477722
drawer_middle_open,prismatic_sliding,20260818,1,random,8,1,TP-GMM SE(2),True,,2.249775477917865,0.004369292125539109,True,0.9932651479173382,0.0046743490869152445,0.0063246779947538755
drawer_middle_open,prismatic_sliding,20260818,16,qualified,30,1,TP-GMM additive,True,,1.7004598819185048,0.00313291410574697,True,0.9049225240078534,0.001982263395488454,0.0015398710950365452
