dataset,episode,frames,flags,missing_event_count,unresolved_fraction,contact_verified
insert_10degree,22,1119,threshold_sensitive_axial_advance_candidate,0,0.012511170688114389,False
insert_10degree,23,1078,,0,0.006493506493506494,False
insert_10degree,24,963,threshold_sensitive_axial_advance_candidate,0,0.0,False
insert_10degree,25,821,,0,0.0097442143727162,False
insert_10degree,26,916,threshold_sensitive_axial_advance_candidate,0,0.009825327510917031,False
insert_10degree,27,884,threshold_sensitive_axial_advance_candidate,0,0.00904977375565611,False
insert_10degree,28,929,threshold_sensitive_axial_advance_candidate,0,0.006458557588805167,False
insert_10degree,29,1179,,0,0.007633587786259542,False
insert_10degree,30,950,threshold_sensitive_axial_advance_candidate,0,0.017894736842105262,False
insert_10degree,31,1014,missing_axial_advance_candidate;missing_terminal_settle_candidate,2,0.4151873767258383,False
insert_10degree,32,976,,0,0.0,False
insert_10degree,33,773,threshold_sensitive_axial_advance_candidate,0,0.01034928848641656,False
insert_10degree,34,956,threshold_sensitive_axial_advance_candidate,0,0.0,False
insert_10degree,35,841,missing_axial_advance_candidate;missing_terminal_settle_candidate,2,0.41379310344827586,False
insert_10degree,36,911,missing_axial_advance_candidate;missing_terminal_settle_candidate,2,0.3402854006586169,False
insert_10degree,37,900,threshold_sensitive_axial_advance_candidate,0,0.005555555555555556,False
insert_10degree,38,1200,threshold_sensitive_axial_advance_candidate,0,0.006666666666666667,False
insert_10degree,39,951,threshold_sensitive_axial_advance_candidate,0,0.005257623554153523,False
insert_10degree,40,1226,threshold_sensitive_axial_advance_candidate,0,0.005709624796084829,False
insert_10degree,41,920,missing_terminal_settle_candidate,1,0.0,False
insert_10degree,42,874,threshold_sensitive_axial_advance_candidate,0,0.010297482837528604,False
insert_10degree,43,997,,0,0.004012036108324975,False
insert_10degree,44,1150,threshold_sensitive_axial_advance_candidate;video_duration_mismatch,0,0.008695652173913044,False
insert_10degree,45,1154,threshold_sensitive_axial_advance_candidate,0,0.005199306759098787,False
insert_10degree,46,1335,missing_terminal_settle_candidate,1,0.0,False
insert_10degree,47,1022,,0,0.008806262230919765,False
insert_10degree,48,1091,video_duration_mismatch,0,0.00458295142071494,False
insert_10degree,49,1744,,0,0.005733944954128441,False
insert_10degree,50,1124,,0,0.008896797153024912,False
insert_10degree,51,1127,,0,0.0,False
insert_10degree,52,1361,threshold_sensitive_axial_advance_candidate,0,0.0,False
insert_10degree,53,1056,,0,0.004734848484848485,False
insert_10degree,54,969,,0,0.016511867905056758,False
insert_10degree,55,907,,0,0.004410143329658214,False
insert_10degree,56,1097,threshold_sensitive_axial_advance_candidate,0,0.007292616226071103,False
insert_10degree,57,1098,threshold_sensitive_axial_advance_candidate,0,0.007285974499089253,False
insert_10degree,58,1094,threshold_sensitive_axial_advance_candidate,0,0.005484460694698354,False
insert_10degree,59,1131,threshold_sensitive_axial_advance_candidate,0,0.005305039787798408,False
insert_10degree,60,1175,threshold_sensitive_axial_advance_candidate,0,0.009361702127659575,False
