dataset,episode,frame,time_s,stage
insert_jc_fix_3,9,348,11.600000381469727,prealignment
insert_jc_fix_3,9,443,14.766666412353516,axial_advance_candidate
insert_jc_fix_3,9,453,15.100000381469727,terminal_settle_candidate
insert_jc_fix_3,9,455,15.166666984558105,axial_advance_candidate
insert_jc_fix_3,9,473,15.766666412353516,terminal_settle_candidate
insert_jc_fix_3,9,478,15.933333396911621,axial_advance_candidate
insert_jc_fix_3,9,495,16.5,released
insert_jc_fix_3,10,0,0.0,approach
insert_jc_fix_3,10,175,5.833333492279053,grasp_lift
insert_jc_fix_3,10,223,7.433333396911621,transport
insert_jc_fix_3,10,267,8.899999618530273,prealignment
insert_jc_fix_3,10,503,16.766666412353516,released
insert_jc_fix_3,11,0,0.0,approach
insert_jc_fix_3,11,143,4.766666889190674,grasp_lift
insert_jc_fix_3,11,194,6.4666666984558105,transport
insert_jc_fix_3,11,232,7.733333110809326,prealignment
insert_jc_fix_3,11,266,8.866666793823242,axial_advance_candidate
insert_jc_fix_3,11,316,10.533333778381348,terminal_settle_candidate
insert_jc_fix_3,11,328,10.933333396911621,axial_advance_candidate
insert_jc_fix_3,11,364,12.133333206176758,terminal_settle_candidate
insert_jc_fix_3,11,391,13.033333778381348,axial_advance_candidate
insert_jc_fix_3,11,413,13.766666412353516,terminal_settle_candidate
insert_jc_fix_3,11,434,14.466666221618652,axial_advance_candidate
insert_jc_fix_3,11,450,15.0,released
insert_jc_fix_3,12,0,0.0,approach
insert_jc_fix_3,12,227,7.566666603088379,grasp_lift
insert_jc_fix_3,12,269,8.966666221618652,transport
insert_jc_fix_3,12,330,11.0,prealignment
insert_jc_fix_3,12,417,13.899999618530273,axial_advance_candidate
insert_jc_fix_3,12,461,15.366666793823242,terminal_settle_candidate
insert_jc_fix_3,12,512,17.066667556762695,axial_advance_candidate
insert_jc_fix_3,12,522,17.399999618530273,released
insert_jc_fix_3,13,0,0.0,approach
insert_jc_fix_3,13,162,5.400000095367432,grasp_lift
insert_jc_fix_3,13,197,6.566666603088379,transport
insert_jc_fix_3,13,222,7.400000095367432,prealignment
insert_jc_fix_3,13,301,10.033333778381348,axial_advance_candidate
insert_jc_fix_3,13,324,10.800000190734863,terminal_settle_candidate
insert_jc_fix_3,13,358,11.933333396911621,axial_advance_candidate
insert_jc_fix_3,13,369,12.300000190734863,released
insert_jc_fix_3,14,0,0.0,approach
insert_jc_fix_3,14,217,7.233333110809326,grasp_lift
insert_jc_fix_3,14,255,8.5,transport
insert_jc_fix_3,14,309,10.300000190734863,prealignment
insert_jc_fix_3,14,339,11.300000190734863,axial_advance_candidate
insert_jc_fix_3,14,388,12.933333396911621,terminal_settle_candidate
insert_jc_fix_3,14,403,13.433333396911621,axial_advance_candidate
insert_jc_fix_3,14,437,14.566666603088379,terminal_settle_candidate
insert_jc_fix_3,14,438,14.600000381469727,axial_advance_candidate
insert_jc_fix_3,14,476,15.866666793823242,terminal_settle_candidate
insert_jc_fix_3,14,529,17.633333206176758,axial_advance_candidate
insert_jc_fix_3,14,541,18.03333282470703,released
insert_jc_fix_3,15,0,0.0,approach
insert_jc_fix_3,15,172,5.733333110809326,grasp_lift
insert_jc_fix_3,15,207,6.900000095367432,transport
insert_jc_fix_3,15,248,8.266666412353516,prealignment
insert_jc_fix_3,15,298,9.933333396911621,axial_advance_candidate
insert_jc_fix_3,15,438,14.600000381469727,terminal_settle_candidate
insert_jc_fix_3,15,450,15.0,axial_advance_candidate
insert_jc_fix_3,15,469,15.633333206176758,released
insert_jc_fix_3,16,0,0.0,approach
insert_jc_fix_3,16,185,6.166666507720947,grasp_lift
insert_jc_fix_3,16,221,7.366666793823242,transport
insert_jc_fix_3,16,249,8.300000190734863,prealignment
insert_jc_fix_3,16,316,10.533333778381348,axial_advance_candidate
insert_jc_fix_3,16,386,12.866666793823242,released
insert_jc_fix_3,17,0,0.0,approach
insert_jc_fix_3,17,150,5.0,grasp_lift
insert_jc_fix_3,17,182,6.066666603088379,transport
insert_jc_fix_3,17,215,7.166666507720947,prealignment
insert_jc_fix_3,17,240,8.0,axial_advance_candidate
insert_jc_fix_3,17,283,9.433333396911621,terminal_settle_candidate
insert_jc_fix_3,17,293,9.766666412353516,axial_advance_candidate
insert_jc_fix_3,17,304,10.133333206176758,terminal_settle_candidate
insert_jc_fix_3,17,332,11.066666603088379,axial_advance_candidate
insert_jc_fix_3,17,351,11.699999809265137,terminal_settle_candidate
insert_jc_fix_3,17,432,14.399999618530273,axial_advance_candidate
insert_jc_fix_3,17,443,14.766666412353516,released
insert_jc_fix_3,18,0,0.0,approach
insert_jc_fix_3,18,229,7.633333206176758,grasp_lift
insert_jc_fix_3,18,264,8.800000190734863,transport
insert_jc_fix_3,18,305,10.166666984558105,prealignment
insert_jc_fix_3,18,502,16.733333587646484,released
insert_jc_fix_3,19,0,0.0,approach
insert_jc_fix_3,19,253,8.433333396911621,grasp_lift
insert_jc_fix_3,19,317,10.566666603088379,transport
insert_jc_fix_3,19,376,12.533333778381348,prealignment
insert_jc_fix_3,19,449,14.966666221618652,axial_advance_candidate
insert_jc_fix_3,19,473,15.766666412353516,terminal_settle_candidate
insert_jc_fix_3,19,496,16.53333282470703,axial_advance_candidate
