dataset,episode,reference_split,event,frame,time_s,status,threshold_time_spread_s,threshold_detection_count,video_duration_mismatch
insert_jc_fix_3,8,reference_heldout,assembly_region,346.0,11.533333778381348,kinematic_proxy,0.0,3,False
insert_jc_fix_3,8,reference_heldout,axial_advance_candidate,373.0,12.433333396911621,kinematic_proxy,0.23333333333333334,3,False
insert_jc_fix_3,8,reference_heldout,terminal_settle_candidate,505.0,16.83333396911621,kinematic_proxy,0.0,3,False
insert_jc_fix_3,8,reference_heldout,release,543.0,18.100000381469727,kinematic_proxy,0.0,3,False
insert_jc_fix_3,9,reference_heldout,grasp,256.0,8.533333778381348,kinematic_proxy,0.0,3,False
insert_jc_fix_3,9,reference_heldout,lift_clearance,304.0,10.133333206176758,kinematic_proxy,0.0,3,False
insert_jc_fix_3,9,reference_heldout,assembly_region,341.0,11.366666793823242,kinematic_proxy,0.0,3,False
insert_jc_fix_3,9,reference_heldout,axial_advance_candidate,438.0,14.600000381469727,kinematic_proxy,0.3333333333333333,2,False
insert_jc_fix_3,9,reference_heldout,terminal_settle_candidate,464.0,15.466666221618652,kinematic_proxy,0.0,2,False
insert_jc_fix_3,9,reference_heldout,release,490.0,16.33333396911621,kinematic_proxy,0.0,3,False
insert_jc_fix_3,10,calibration,grasp,170.0,5.666666507720947,kinematic_proxy,0.0,3,False
insert_jc_fix_3,10,calibration,lift_clearance,218.0,7.266666889190674,kinematic_proxy,0.0,3,False
insert_jc_fix_3,10,calibration,assembly_region,261.0,8.699999809265137,kinematic_proxy,0.0,3,False
insert_jc_fix_3,10,calibration,axial_advance_candidate,,,missing,,1,False
insert_jc_fix_3,10,calibration,terminal_settle_candidate,408.0,13.600000381469727,kinematic_proxy,0.23333333333333334,2,False
insert_jc_fix_3,10,calibration,release,498.0,16.600000381469727,kinematic_proxy,0.0,3,False
insert_jc_fix_3,11,reference_heldout,grasp,138.0,4.599999904632568,kinematic_proxy,0.0,3,False
