dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,3,main,lift_clearance,248.0,8.266666412353516
insert_jc_fix_3,3,main,assembly_region,318.0,10.600000381469727
insert_jc_fix_3,3,main,axial_advance_candidate,424.0,14.133333206176758
insert_jc_fix_3,3,main,terminal_settle_candidate,488.0,16.266666412353516
insert_jc_fix_3,3,main,release,529.0,17.633333206176758
insert_jc_fix_3,3,loose,grasp,219.0,7.300000190734863
insert_jc_fix_3,3,loose,lift_clearance,248.0,8.266666412353516
insert_jc_fix_3,3,loose,assembly_region,318.0,10.600000381469727
insert_jc_fix_3,3,loose,axial_advance_candidate,424.0,14.133333206176758
insert_jc_fix_3,3,loose,terminal_settle_candidate,488.0,16.266666412353516
insert_jc_fix_3,3,loose,release,529.0,17.633333206176758
insert_jc_fix_3,3,own_terminal_offline,grasp,219.0,7.300000190734863
insert_jc_fix_3,3,own_terminal_offline,lift_clearance,248.0,8.266666412353516
insert_jc_fix_3,3,own_terminal_offline,assembly_region,319.0,10.633333206176758
insert_jc_fix_3,3,own_terminal_offline,axial_advance_candidate,424.0,14.133333206176758
insert_jc_fix_3,3,own_terminal_offline,terminal_settle_candidate,488.0,16.266666412353516
insert_jc_fix_3,3,own_terminal_offline,release,529.0,17.633333206176758
insert_jc_fix_3,4,strict,grasp,209.0,6.9666666984558105
insert_jc_fix_3,4,strict,lift_clearance,263.0,8.766666412353516
insert_jc_fix_3,4,strict,assembly_region,297.0,9.899999618530273
insert_jc_fix_3,4,strict,axial_advance_candidate,332.0,11.066666603088379
insert_jc_fix_3,4,strict,terminal_settle_candidate,388.0,12.933333396911621
insert_jc_fix_3,4,strict,release,441.0,14.699999809265137
insert_jc_fix_3,4,main,grasp,209.0,6.9666666984558105
insert_jc_fix_3,4,main,lift_clearance,263.0,8.766666412353516
insert_jc_fix_3,4,main,assembly_region,297.0,9.899999618530273
insert_jc_fix_3,4,main,axial_advance_candidate,323.0,10.766666412353516
insert_jc_fix_3,4,main,terminal_settle_candidate,388.0,12.933333396911621
insert_jc_fix_3,4,main,release,441.0,14.699999809265137
insert_jc_fix_3,4,loose,grasp,209.0,6.9666666984558105
insert_jc_fix_3,4,loose,lift_clearance,263.0,8.766666412353516
insert_jc_fix_3,4,loose,assembly_region,297.0,9.899999618530273
insert_jc_fix_3,4,loose,axial_advance_candidate,323.0,10.766666412353516
insert_jc_fix_3,4,loose,terminal_settle_candidate,388.0,12.933333396911621
insert_jc_fix_3,4,loose,release,441.0,14.699999809265137
insert_jc_fix_3,4,own_terminal_offline,grasp,209.0,6.9666666984558105
insert_jc_fix_3,4,own_terminal_offline,lift_clearance,263.0,8.766666412353516
