time_s,nominal_frame,event_progress,alpha_pitch,applied_rotation_deg,delta_x_mm,delta_y_mm,delta_z_mm
0.0,270.0,1.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-14
0.03333333333333333,270.0000257028656,1.0000005140573125,5.4892235308163674e-08,5.489223530816368e-07,8.439990928366115e-07,-8.617551255918343e-07,-7.198715790135424e-07
0.06666666666666667,270.00020493705875,1.0000040987411751,4.3767311461909675e-07,4.376731146190968e-06,6.729477974865006e-06,-6.871053087609269e-06,-5.739700936757686e-06
0.1,270.00068935190126,1.0000137870380252,1.4722119831553304e-06,1.4722119831553304e-05,2.263617282505237e-05,-2.311240194369235e-05,-1.93062093534202e-05
0.13333333333333333,270.0016285519533,1.0000325710390654,3.4780112978673255e-06,3.4780112978673254e-05,5.347685505530109e-05,-5.460196075834922e-05,-4.5607153664750655e-05
0.16666666666666666,270.003170106183,1.00006340212366,6.770226210952255e-06,6.770226210952255e-05,0.00010409783368636738,-0.00010628807974727428,-8.87696780804692e-05
0.2,270.0054595571358,1.0001091911427158,1.1659684151618217e-05,0.00011659684151618217,0.00017927953044338807,-0.00018305192578393914,-0.00015285796442499056
0.23333333333333334,270.0086404301035,1.0001728086020705,1.8452904408820576e-05,0.00018452904408820575,0.0002837371263497701,-0.0002897081894590037,-0.0002418702166329112
0.26666666666666666,270.01285424229394,1.0002570848458787,2.745211771357151e-05,0.00027452117713571507,0.0004221212739352609,-0.0004310058691128771,-0.0003597350126671728
0.3,270.018240512,1.0003648102399996,3.8955285821510376e-05,0.00038955285821510373,0.0005990188732818424,-0.0006116291280874875,-0.0005103070589984604
0.3333333333333333,270.02493676776913,1.0004987353553827,5.325612109530812e-05,0.0005325612109530811,0.0008189539074665575,-0.0008361982209020846,-0.0006973623792039252
0.36666666666666664,270.0330785575727,1.0006615711514542,7.064410608702423e-05,0.0007064410608702423,0.001086388333626509,-0.0011092704846962786,-0.0009245929709633671
0.4,270.0427994579753,1.0008559891595064,9.140451312091419e-05,0.0009140451312091419,0.0014057230282027433,-0.001435341391943512,-0.0011956009604852103
0.43333333333333335,270.054231083304,1.0010846216660798,0.00011581842387535975,0.0011581842387535974,0.0017812987808119018,-0.0018188456606879622,-0.0015138922878354943
0.4666666666666667,270.06750309481765,1.0013500618963531,0.00014416274896567624,0.0014416274896567624,0.002217397335191329,-0.0022641584188562436,-0.001882869951425059
0.5,270.0827432098765,1.0016548641975305,0.00017671024752665944,0.0017671024752665943,0.0027182424741090117,-0.0027755964189524196,-0.0023058268422138095
0.5333333333333333,270.10007721111134,1.0020015442222268,0.00021372954679487122,0.0021372954679487123,0.003288001143908481,-0.003357419299854225,-0.0027859381958872387
0.5666666666666667,270.11962895559253,1.0023925791118506,0.00025548516169071205,0.0025548516169071203,0.00393078461791152,-0.004013830891970438,-0.003326253691426917
0.6,270.141520384,1.0028304076799999,0.00030223751440179765,0.0030223751440179763,0.0046506496936826736,-0.004748980563074046,-0.003929689224385635
0.6333333333333333,270.165871529792,1.0033174305958403,0.0003542429539646044,0.003542429539646044,0.005451599923267381,-0.0055669646010919616,-0.004599018379070063
0.6666666666666666,270.19280052837473,1.0038560105674947,0.0004117537758471348,0.004117537758471348,0.006337586872406931,-0.006471827631103488,-0.0053368636299122585
0.7,270.2224236262716,1.0044484725254323,0.0004750182415317011,0.004750182415317011,0.007312511407064903,-0.007467564063501353,-0.006145687293179769
0.7333333333333333,270.2548551902925,1.0050971038058503,0.000544280598096808,0.00544280598096808,0.008380225003934427,-0.008558119570012401,-0.007027782257779114
0.7666666666666666,270.2902077167033,1.0058041543340663,0.0006197810978002687,0.006197810978002686,0.009544531083816032,-0.009747392585496284,-0.007985262516496672
0.8,270.32859184039506,1.0065718368079013,0.0007017560176611818,0.007017560176611818,0.010809186363536227,-0.011039235832059624,-0.00902005352335089
0.8333333333333334,270.37011634405326,1.0074023268810652,0.0007904376790423603,0.007904376790423603,0.012177902225518622,-0.012437457863084811,-0.010133882399010474
0.8666666666666667,270.4148881673273,1.0082977633465464,0.0008860544672330197,0.008860544672330196,0.013654346103786352,-0.013945824624758685,-0.011328268007537723
0.9,270.463012416,1.0092602483200006,0.000988830851031515,0.00988830851031515,0.0152421428804006,-0.01556806103234637,-0.012604510924940637
0.9333333333333333,270.5145923711564,1.0102918474231286,0.00109898740232682,0.0109898740232682,0.0169448762957769,-0.017307852558795522,-0.013963683323098275
0.9666666666666667,270.5697294983537,1.011394589967074,0.0012167408156821644,0.012167408156821644,0.018766090364996657,-0.019168846833575448,-0.015406618787128235
1.0,270.6285234567901,1.0125704691358022,0.0013423039279166803,0.013423039279166804,0.020709290803555547,-0.02115465524910043,-0.016933902088511754
1.0333333333333332,270.69107210847454,1.0138214421694909,0.0014758857376882567,0.014758857376882567,0.022777946456664644,-0.02326885457282213,-0.018545858932267345
1.0666666666666667,270.75747152739564,1.0151494305479127,0.0016176914250755638,0.01617691425075564,0.024975490732104255,-0.025514988562715113,-0.020242545697213288
1.1,270.82781600869134,1.0165563201738268,0.0017679223711610272,0.01767922371161027,0.027305323034854112,-0.027896569584268116,-0.02202373918883116
1.1333333333333333,270.90219807781824,1.0180439615563648,0.0019267761776132323,0.019267761776132323,0.02977081020150152,-0.030417080226628757,-0.02388892642093965
1.1666666666666667,270.98070849972055,1.019614169994411,0.002094446686268665,0.02094446686268665,0.03237528793242905,-0.03307997491646536,-0.02583729444524674
1.2,271.063436288,1.0212687257599997,0.002431139525215458,0.02431139525215458,0.03758665826902874,-0.038407170322517226,-0.029815930957827197
1.2333333333333334,271.15046871408464,1.0230093742816928,0.002836545873566021,0.02836545873566021,0.043859175840599285,-0.04481958980410289,-0.03456760595782482
1.2666666666666666,271.2418913163985,1.0248378263279698,0.0032624021322978335,0.032624021322978335,0.05044956706001802,-0.051557887600903185,-0.039491153637688514
1.3,271.33778790953085,1.0267557581906168,0.003709098718731385,0.03709098718731385,0.057364098675960484,-0.05862860749254739,-0.04458097946671846
1.3333333333333333,271.43824059340545,1.028764811868109,0.004177018063091689,0.04177018063091689,0.06460893195647799,-0.06603819563406194,-0.049830639807374455
