time_s,x_m,y_m,z_m,qx,qy,qz,qw,stage
0.0,0.566467335859354,0.03318134491138655,0.20569448064220874,0.70991337031345,0.7015780249469046,-0.061631245321775364,-0.003587640155599836,assembly_closed
0.03333333333333333,0.5664673019405987,0.03318147391838562,0.20569449970268255,0.709913409010667,0.7015779842727831,-0.0616312602396435,-0.003587680569030813,assembly_closed
0.06666666666666667,0.5664670654144206,0.0331823735248936,0.20569463261744358,0.7099136788584691,0.7015777006392037,-0.061631364266652645,-0.003587962384637747,assembly_closed
0.1,0.566466426157039,0.03318480488425281,0.20569499184566647,0.7099144081731034,0.7015769340641264,-0.06163164541969302,-0.0035887240454540756,assembly_closed
0.13333333333333333,0.5664651867432189,0.033189518886596034,0.2056956883318879,0.7099158221895144,0.7015754477986932,-0.06163219052907353,-0.003590200779452148,assembly_closed
0.16666666666666666,0.5664631524343716,0.03319725620463866,0.20569683151471146,0.7099181430720185,0.7015730083097973,-0.06163308524406019,-0.0035926246139417447,assembly_closed
0.2,0.5664601311667289,0.033208747339381686,0.20569852933621385,0.7099215899238192,0.7015693852615758,-0.06163441403849354,-0.0035962243899601244,assembly_closed
0.23333333333333334,0.5664559335395879,0.0332247126657349,0.205700888252017,0.7099263787954319,0.7015643514958815,-0.06163626021648195,-0.0036012257766557523,assembly_closed
0.26666666666666666,0.5664503728036221,0.03324586247806252,0.2057040132419924,0.7099327226920643,0.7015576830117869,-0.06163870591816634,-0.003607851285665,assembly_closed
0.3,0.5664432648492559,0.03327289703565593,0.20570800782156345,0.709940831580017,0.7015491589441698,-0.06164183212555293,-0.003616320285482513,assembly_closed
0.3333333333333333,0.5664344281950987,0.033306506608137415,0.20571297405357325,0.7099509123921499,0.7015385615414348,-0.061645718668409684,-0.00362684901582496,assembly_closed
0.36666666666666664,0.5664236839764345,0.03334737152079814,0.20571901256068398,0.7099631690324752,0.7015256761424177,-0.06165044423022292,-0.0036396506019881346,assembly_closed
0.4,0.5664108559337659,0.03339616219987625,0.2057262225382792,0.7099778023799235,0.7015102911525222,-0.06165608635421062,-0.003654935069198155,assembly_closed
0.43333333333333335,0.5663957704014067,0.033453539217775136,0.20573470176783493,0.7099950102913332,0.7014921980191374,-0.06166272144938817,-0.003672909356955036,assembly_closed
0.4666666666666667,0.5663782562961207,0.03352015333822998,0.2057445466307316,0.7100149876037171,0.7014711912063828,-0.061670424796683714,-0.0036937773333701783,assembly_closed
0.5,0.5663581451058063,0.033596645561422986,0.2057558521224766,0.7100379261358494,0.7014470681692254,-0.061679270555099065,-0.0037177398094962945,assembly_closed
0.5333333333333333,0.5663352708782188,0.03368364716905099,0.20576871186730838,0.7100640146892219,0.7014196293270141,-0.06168933176791277,-0.0037449945536494685,assembly_closed
0.5666666666666667,0.5663094702097331,0.03378177976934939,0.20578321813315437,0.7100934390484152,0.7013886780364769,-0.06170068036892182,-0.0037757363057229045,assembly_closed
0.6,0.5662805822341387,0.033891655342078275,0.2057994618469145,0.7101263819809286,0.7013540205642194,-0.061713387188719215,-0.0038101567914927427,assembly_closed
0.6333333333333333,0.5662484486114694,0.03401387628346761,0.20581753261004526,0.7101630232365136,0.7013154660587745,-0.06172752196100318,-0.0038484447369130995,assembly_closed
0.6666666666666666,0.5662129135168606,0.03414903545113046,0.2058375187144149,0.7102035395460503,0.7012728265222324,-0.061743153328914946,-0.0038907858824013806,assembly_closed
0.7,0.566173823629435,0.03429771620894566,0.20585950715840834,0.7102481046200128,0.7012259167815046,-0.06176034885140288,-0.003937362997112668,assembly_closed
0.7333333333333333,0.5661310281212109,0.03446049247191002,0.2058835836632527,0.7102968891465558,0.7011745544592493,-0.06177917500960792,-0.003988355893200922,assembly_closed
0.7666666666666666,0.5660843786460346,0.03463792875096823,0.20590983268954283,0.710350060789272,0.7011185599445041,-0.06179969721326892,-0.004043941440068037,assembly_closed
0.8,0.5660337293285311,0.03483058019781725,0.2059383374539402,0.7104077841846462,0.7010577563630597,-0.06182197980714373,-0.004104293578597335,assembly_closed
0.8333333333333334,0.5659789367530723,0.03503899264969225,0.20596917994602404,0.7104702209392522,0.7009919695476128,-0.06184608607744334,-0.0041695833353719,assembly_closed
0.8666666666666667,0.5659198599527612,0.03526370267413531,0.20600244094527131,0.7105375296267237,0.7009210280077333,-0.06187207825827596,-0.004239978836875867,assembly_closed
0.9,0.565856360398427,0.03550523761374971,0.20603820003814455,0.7106098657845357,0.7008447628996791,-0.06190001753809855,-0.004315645323677431,assembly_closed
0.9333333333333333,0.5657883019876346,0.03576411563093898,0.20607653563526424,0.7106873819106284,0.7007630079960961,-0.06192996406617172,-0.004396745164591009,assembly_closed
0.9666666666666667,0.565715551033699,0.03604084575264056,0.20611752498864838,0.7107702274599074,0.7006755996556326,-0.061961976959016674,-0.004483437870819644,assembly_closed
1.0,0.5656379762547096,0.0363359279150474,0.20616124420899556,0.7108585488406515,0.7005823767925019,-0.061996114306870166,-0.004575880110072789,assembly_closed
1.0333333333333332,0.5655554487625583,0.03664985300832664,0.20620776828299436,0.7109524894108591,0.7004831808460259,-0.0620324331801352,-0.004674225720660525,assembly_closed
1.0666666666666667,0.5654678420519712,0.03698310292133293,0.20625717109063962,0.7110521894745645,0.700377855750189,-0.06207098963582482,-0.004778625725560862,assembly_closed
1.1,0.5653750319895414,0.03733615058632257,0.2063095254225361,0.7111577862781464,0.700266247903229,-0.06211183872399612,-0.004889228346459548,assembly_closed
1.1333333333333333,0.5652768968027623,0.037709460023667055,0.20636490299717342,0.711269414006668,0.7001482061373019,-0.06215503449417223,-0.005006179017759963,assembly_closed
1.1666666666666667,0.5651733170690583,0.03810348638656738,0.20642337447815273,0.7113872037802619,0.7000235816882397,-0.0622006300017487,-0.00512962040056067,assembly_closed
1.2,0.5650469651257656,0.03854959890097652,0.206450646332958,0.711507754113716,0.6998961358012218,-0.06224050868231616,-0.005313568061135768,assembly_closed
1.2333333333333334,0.5649085338743915,0.039028815271110545,0.20646840064511757,0.7116333921009337,0.6997632574663898,-0.062279857091600194,-0.005524323270373318,assembly_closed
1.2666666666666666,0.5647631212051796,0.03953220233351003,0.20648711835399386,0.7117653039348374,0.6996236180745914,-0.062321200042091296,-0.00574570901459331,assembly_closed
1.3,0.5646105940312203,0.04006022121810477,0.2065068267279942,0.7119036010424883,0.6994770809317277,-0.06236457687718293,-0.005977928144185608,assembly_closed
1.3333333333333333,0.564450822010998,0.04061332358485486,0.20652755344123214,0.7120483916626723,0.6993235113156899,-0.06241002627199084,-0.006221179343580569,assembly_closed
1.3666666666666667,0.5642836775345915,0.04119195167311135,0.20654932659939051,0.7121997808360999,0.6991627764422497,-0.06245758624077298,-0.006475657152143061,assembly_closed
1.4,0.5641090357098878,0.04179653835096472,0.20657217476520762,0.7123578703959135,0.6989947454313181,-0.06250729414428147,-0.006741551984970394,assembly_closed
1.4333333333333333,0.5639267743488144,0.04242750716458333,0.20659612698355462,0.712522758958533,0.6988192892736049,-0.06255918669704165,-0.0070190501535911535,assembly_closed
1.4666666666666666,0.5637367739535865,0.04308527238754034,0.20662121280607226,0.7126945419148701,0.698636280797707,-0.06261329997455282,-0.007308333886560678,assembly_closed
1.5,0.5635373113075636,0.043781309181457784,0.20663559099219087,0.7128653657548837,0.6984540163312825,-0.06266450942496803,-0.007623426813747244,assembly_closed
1.5333333333333332,0.5633135430458769,0.04461739884774641,0.2065306973801771,0.7129625399910162,0.6983494611680583,-0.06266560301038743,-0.008091282666308475,assembly_closed
1.5666666666666667,0.563080949990587,0.045486361647250007,0.20642204137803088,0.7130633480276544,0.6982406208360123,-0.06266676446412109,-0.008577513959809014,assembly_closed
1.6,0.5628394093147386,0.046388645084139674,0.2063096091343241,0.7131678200258764,0.6981274190109303,-0.06266799727853693,-0.00908236873140562,assembly_closed
1.6333333333333333,0.5625888008037541,0.0473246863035621,0.20619339047362772,0.7132759837140228,0.6980097795219868,-0.06266930509574568,-0.009606089072902562,assembly_closed
1.6666666666666667,0.5623290068374377,0.04829491215245345,0.20607337893678418,0.7133878643698772,0.6978876263214049,-0.06267069171096284,-0.010148911159838452,assembly_closed
1.7,0.5620599123722934,0.04929973924005332,0.20594957181968765,0.7135034848035935,0.6977608834549139,-0.06267216107576336,-0.010711065280334487,assembly_closed
1.7333333333333334,0.5617902163768922,0.050313494776554134,0.20581145894289332,0.7136210549235569,0.69763169271212,-0.06266821047850307,-0.011300738419867448,assembly_closed
1.7666666666666666,0.5615571858222446,0.05122584750093819,0.20561459921452357,0.7137328843075447,0.6975093669426567,-0.06263547901763805,-0.011951972787718637,assembly_closed
1.8,0.5613162588197358,0.052168668722274915,0.20541215126324308,0.713848097775214,0.6973826263659086,-0.06260174857567645,-0.012624849344203994,assembly_closed
1.8333333333333333,0.5610673405411932,0.05314228715168434,0.20520414176485607,0.7139667009650794,0.697251394261781,-0.06256701666374592,-0.013319592292634526,assembly_closed
1.8666666666666667,0.5608103377819368,0.054147023435404174,0.20499060364910043,0.7140886969311618,0.6971155934795372,-0.06253128151092914,-0.01403641960859932,assembly_closed
1.9,0.5605451589502292,0.05518319020189497,0.2047715761496267,0.714214086128216,0.6969751464110929,-0.062494542068104654,-0.01477554306855549,assembly_closed
1.9333333333333333,0.5603068577504083,0.05629741180246871,0.2045548510093806,0.7144378783393557,0.6967448834879475,-0.062240388227468454,-0.015849902227476002,assembly_closed
1.9666666666666666,0.5600895712729019,0.05748252834569949,0.20433990940673466,0.7147439946635589,0.696437448034008,-0.06180417196311939,-0.01720893361629866,assembly_closed
2.0,0.5598656347957256,0.058702536375639186,0.2041209991266537,0.7150576893364513,0.6961190567966915,-0.06135564541428959,-0.018607645232423423,assembly_closed
2.033333333333333,0.559634972310041,0.05995774282272388,0.20389826978609815,0.7153789170887249,0.6957894644752598,-0.06089474180665981,-0.020046359532217457,assembly_closed
2.0666666666666664,0.5593975088813671,0.06124844614837733,0.20367188064039238,0.7157076255779299,0.6954484214294929,-0.060421399288799776,-0.021525388006060395,assembly_closed
2.1,0.5592419996536397,0.062449108968475185,0.20348007342759072,0.7160693339009353,0.695069024150662,-0.059864551908806664,-0.023237816973094176,assembly_closed
2.1333333333333333,0.5591109141541971,0.0636413952403487,0.20329894696863077,0.7164470143091225,0.6946673531727146,-0.05927038651311205,-0.02505923794023221,assembly_closed
2.1666666666666665,0.5589759868561177,0.06486551462616431,0.20311672644765094,0.7168323806966326,0.6942514053637364,-0.05866146554025068,-0.02692873179235961,assembly_closed
2.2,0.5588371719437587,0.06612169765533293,0.2029336712236559,0.7172253184079562,0.6938208228432751,-0.05803776006731955,-0.028846608640436873,assembly_closed
2.2333333333333334,0.5587468952198977,0.06736972284478882,0.20276994495207512,0.7175044735864113,0.6934962308565291,-0.05743273639240416,-0.03085107715712621,assembly_closed
2.2666666666666666,0.5587052496074973,0.06860968061684916,0.20262647291966496,0.717669650522286,0.6932774195839808,-0.05684614099067957,-0.03294250246512377,assembly_closed
2.3,0.5586622180653168,0.06988028897939151,0.20248484161458968,0.7178362838889739,0.6930487028447724,-0.05624593489599637,-0.035085037057443695,assembly_closed
2.3333333333333335,0.5586177833173342,0.07118172470781535,0.20234542278222437,0.7180042068753228,0.6928097204408332,-0.0556320955510057,-0.03727895004740562,assembly_closed
2.3666666666666667,0.5586882361717964,0.07203633497253754,0.2022188245066887,0.7180687477757691,0.6926621504064954,-0.05518161341048969,-0.03938792204983149,assembly_closed
2.4,0.5588183822629316,0.07267121763898461,0.20209831670728862,0.7180798314604412,0.6925582058942257,-0.05481001977069007,-0.04147708802522548,assembly_closed
2.433333333333333,0.5589511992799447,0.07332078880997668,0.201978679593833,0.7180886320296757,0.6924477566879872,-0.05443042056635397,-0.04361364608116171,assembly_closed
2.466666666666667,0.5590761038080213,0.07408795522667039,0.20186193635483102,0.7181359156030195,0.6922852347847371,-0.053979361784634604,-0.04591501847302024,assembly_closed
2.5,0.5591390068734834,0.07549815284189662,0.20176034127957343,0.7184292129073208,0.6918361243810406,-0.0531335996779037,-0.04898023711720328,assembly_closed
2.533333333333333,0.5592030319901298,0.07693887636068965,0.20166586635234035,0.7187233099133725,0.6913674004108885,-0.05227181687194943,-0.052111213737179626,assembly_closed
2.5666666666666664,0.5592682108350401,0.07841020899646878,0.20157910102893278,0.7190178720384375,0.6908783943150631,-0.051394096891754046,-0.05530814372801152,assembly_closed
2.6,0.5595012936302094,0.07892746324883153,0.20145098032338266,0.7191166570976084,0.6905793406897718,-0.051006154210288604,-0.05804980559758099,assembly_closed
2.6333333333333333,0.5597643595224979,0.07930460480158001,0.20131631005148176,0.719182866873335,0.6902998886729708,-0.05068932175966076,-0.06076726383078879,assembly_closed
2.6666666666666665,0.5600323547068663,0.07968966895979776,0.201182279253106,0.7192457880133307,0.690008255939934,-0.05036761703771715,-0.06353901410752084,assembly_closed
2.7,0.5602890284596699,0.08045707217136923,0.20106490916130815,0.7194853481033325,0.6894755213373426,-0.049625763659796256,-0.06709413478396031,assembly_closed
2.7333333333333334,0.5605463835469275,0.08133354741192994,0.20095676743107643,0.7197669448337424,0.6888615659592212,-0.048768663732277,-0.07090067352767664,assembly_closed
2.7666666666666666,0.5608084888369801,0.08222686571824125,0.2008548271186981,0.7200454231021973,0.6882211528138776,-0.04789899925785889,-0.07477913719220462,assembly_closed
2.8,0.5611584788595378,0.08308300691120159,0.20076223311891836,0.7200911593902664,0.6877960558722509,-0.046998252094713824,-0.07871767269552198,assembly_closed
2.8333333333333335,0.5615235443235667,0.08394929546037919,0.2006767716375019,0.7201055526422628,0.6873723696649734,-0.04608133456167582,-0.08272683409846607,assembly_closed
2.8666666666666667,0.561903234458222,0.0847490343012062,0.20058925086387724,0.7200992312390354,0.6869390628317564,-0.04521818788294277,-0.08675907220205498,assembly_closed
2.9,0.5623310542217339,0.0851324937197327,0.20045755764489026,0.7200200767248742,0.6865592331093592,-0.044698340628847706,-0.09060666029835983,assembly_closed
2.933333333333333,0.562766177683915,0.08552289881814171,0.20032831554344577,0.7199306749839193,0.6861592528038776,-0.044171431933331645,-0.09452083161812552,assembly_closed
2.966666666666667,0.5631887954600181,0.08610728042382179,0.20022460127902347,0.7198873422807965,0.6857008979342539,-0.043720498788363565,-0.09831078771806134,assembly_closed
3.0,0.5636019424670411,0.08685968150097984,0.20014629684080773,0.719882805727435,0.6851906809248993,-0.04333492157041711,-0.10200275174795456,assembly_closed
3.033333333333333,0.5640175880944021,0.087615208506477,0.20007277057610662,0.7198791272300104,0.6846521601204305,-0.04296546898146853,-0.1057328250648285,assembly_closed
3.0666666666666664,0.5643208155632586,0.08815208385152906,0.19993378232982295,0.7201059084017939,0.6839010200032497,-0.04308544272677957,-0.10895191668061378,assembly_closed
3.1,0.5646286448144173,0.08869795114465705,0.1997998535194684,0.7203277081192091,0.6831302014405278,-0.043212554610526394,-0.11222208302996015,assembly_closed
3.1333333333333333,0.5649175132333385,0.08905554975003252,0.19962070821232847,0.7204503522048294,0.6824909874535549,-0.043311764068050644,-0.11524510031199772,assembly_closed
3.1666666666666665,0.5651962626690044,0.08930377126590743,0.19941355259396193,0.7205128729251405,0.6819245372533504,-0.04339535871818569,-0.11813961352012328,assembly_closed
3.2,0.5654029333366519,0.0897977024880508,0.19916418376418454,0.7206656992432433,0.6812972174006929,-0.043386210526143755,-0.12080019963767132,assembly_closed
3.2333333333333334,0.5654448295651178,0.09083185520773261,0.19882406435005112,0.7210283307494022,0.6805536545542629,-0.04316636379529985,-0.12288830117736974,assembly_closed
3.2666666666666666,0.5654647498357097,0.09190514586318448,0.19846142482207701,0.7214358876756854,0.6797636340596445,-0.04292601340524061,-0.12493606027386484,assembly_closed
3.3,0.5652236513350332,0.0932683766866724,0.19776266654656244,0.7223774274644916,0.6785746356408298,-0.042420175572584304,-0.12612630518289716,assembly_closed
3.3333333333333335,0.5649755848019778,0.09465494433189661,0.19706400764909643,0.723330957394669,0.6773639041300822,-0.04191269087940089,-0.12733339624549445,assembly_closed
3.3666666666666667,0.564015299733096,0.09658342426907128,0.19583391920308107,0.7242556237711417,0.6762868025458068,-0.041501922042766405,-0.12793569714899514,assembly_closed
3.4,0.5629642623441572,0.09859717416143217,0.19454384052743043,0.7251880060077359,0.6752077607374384,-0.041099219930038684,-0.12848225520903767,assembly_closed
3.433333333333333,0.5619681592830879,0.09985567058978889,0.19343017721846456,0.7256611401450959,0.674590516320933,-0.04106708767124428,-0.1290621527922849,assembly_closed
3.466666666666667,0.5609737252020215,0.1009420642328403,0.19235162608002265,0.7260252259088954,0.674081026609132,-0.04112667061780112,-0.12965622959738887,assembly_closed
3.5,0.5601266339906747,0.10163007717419176,0.1914510051383405,0.7261706613480325,0.6738517392279386,-0.041149464197972066,-0.13002586563089286,assembly_closed
3.533333333333333,0.5593183713319984,0.10219785415823977,0.19059940402245962,0.7262478094468455,0.6737096523267043,-0.04116066021670136,-0.1303273712081033,assembly_closed
3.5666666666666664,0.5579686410068332,0.10263440231708704,0.18922506779397885,0.7263760659963863,0.6735156451395311,-0.0414196289417289,-0.13053314076595493,assembly_closed
3.6,0.5564449360441303,0.10303586586807892,0.18768230460183982,0.7265205892175776,0.673304305452295,-0.0417549022493779,-0.13071217938849966,assembly_closed
3.6333333333333333,0.5551640603279167,0.10306861975311132,0.1864661027611784,0.7270861484953128,0.6726529760335375,-0.04215621107412466,-0.13079205009231598,assembly_closed
3.6666666666666665,0.5539198571527274,0.10302686203217555,0.18530263656786458,0.7277413979651641,0.6719058414042165,-0.04257436615209458,-0.13085267028741862,assembly_closed
3.6999999999999997,0.5528679722697025,0.1030293407588968,0.18501761675336137,0.728623024072765,0.6710427091364445,-0.042314841791964375,-0.13045928663763645,assembly_closed
3.7333333333333334,0.5517881270864599,0.10302678961827634,0.18483117509078373,0.7295232986230278,0.6701796555897637,-0.04196202851181312,-0.1299775910029733,assembly_closed
3.7666666666666666,0.5504246300917708,0.10295207804762521,0.18511686476922992,0.7303947865435563,0.6694791625279825,-0.04114380563835608,-0.12895074248881677,assembly_closed
3.8,0.5491739238238443,0.10289144799335703,0.18539711076611987,0.7311206202031075,0.6689230859395481,-0.040436553820092855,-0.1279430690818784,assembly_closed
3.8333333333333335,0.548234220509655,0.10286694307251809,0.18566221871220845,0.7314674604952673,0.6687475353442176,-0.04002809274158173,-0.12700330704005452,assembly_closed
3.8666666666666667,0.547131828204429,0.10277427645113356,0.18602932618512508,0.7318562982794838,0.6685541083688454,-0.03939511366995016,-0.12597534628140936,assembly_closed
3.9,0.5458719888554443,0.10261631351379753,0.1864944353080592,0.7322847860354953,0.668343271153034,-0.038545550634595964,-0.12486194204675305,assembly_closed
3.933333333333333,0.5448144598116932,0.10259919188959386,0.1868184273395253,0.7325442969459545,0.6682339682581218,-0.03803925484051345,-0.12407752322294097,assembly_closed
3.966666666666667,0.5437863329487166,0.102627062039657,0.1870727540677238,0.7327472815915526,0.6681519598527826,-0.03767866446340763,-0.12342891925853296,assembly_closed
4.0,0.542476405398624,0.10270277986817797,0.1869469457693546,0.7328383730873853,0.6680494941994845,-0.0379475273670957,-0.12336035585701971,assembly_closed
4.033333333333333,0.5411590004423279,0.1028296949742554,0.18666158442337386,0.7330550326126014,0.6677947642825021,-0.03827301578674601,-0.1233517256498781,assembly_closed
4.066666666666666,0.5398375490330443,0.10303404702009032,0.18613553007394432,0.7334618437694155,0.6673089562132297,-0.03868309886461758,-0.12343459221065116,assembly_closed
4.1,0.538792565586073,0.10361758494656283,0.18561821332979062,0.7344417459847186,0.6662998239932296,-0.03863138385299353,-0.12307510911273657,assembly_closed
4.133333333333333,0.5378836152341341,0.10435033486138834,0.18513012239637783,0.7355599525734831,0.6651793312477916,-0.0383579433316538,-0.12254257070178444,assembly_closed
4.166666666666667,0.5372919283625252,0.1052192829825334,0.1848270144441887,0.7363420892372425,0.6644814205397528,-0.03764932445738353,-0.12184948807076645,assembly_closed
4.2,0.5367824604774668,0.10599676632433465,0.18451393523355714,0.7368346090358388,0.6640809535714822,-0.036973416757841195,-0.1212609272760377,assembly_closed
4.233333333333333,0.5363413473666738,0.10669852136484267,0.1841921368574498,0.7370848167589207,0.6639304800000889,-0.03632409405634438,-0.12075947507879324,assembly_closed
4.266666666666667,0.5366313558798108,0.10717867888691451,0.18390054647116766,0.7373340843543811,0.6639230530958251,-0.03467779879549061,-0.11975841468516607,assembly_closed
4.3,0.5372105849083697,0.10755270626851923,0.18359807485401852,0.7376729994366433,0.6638921003041519,-0.03247900456145455,-0.11845226599176961,assembly_closed
4.333333333333333,0.5381476880409125,0.10779256591208715,0.183281165455297,0.7381255655135142,0.6638235104690239,-0.029588578045377442,-0.11676263329160252,assembly_closed
4.366666666666666,0.5385912934050218,0.10786793639902408,0.18302809274815085,0.7383591865389213,0.6637794405559778,-0.028022055261588,-0.11591949951449927,assembly_closed
4.4,0.5390898129549522,0.10794232408193309,0.18269154559074197,0.7387480092158217,0.6636012327936965,-0.026161512987691746,-0.1148928107086836,assembly_closed
4.433333333333334,0.5397329234805204,0.10803747580264456,0.18222714044751093,0.7393859201143906,0.6632245038967897,-0.02370337753311272,-0.11348950815373134,assembly_closed
4.466666666666667,0.5403096471901909,0.10823008855730352,0.18205284401830646,0.7398962029825092,0.6628866240794593,-0.021910181967864272,-0.11249389474428326,assembly_closed
4.5,0.540869251855459,0.10843529430261406,0.18199780834803297,0.7403267293842354,0.6625949216279438,-0.02037969381976176,-0.11166454975466915,assembly_closed
4.533333333333333,0.5414169627085458,0.10864603070830145,0.18205690437055183,0.7406771118457701,0.6623548112727954,-0.01909338642966959,-0.11099082199098952,assembly_closed
4.566666666666666,0.5420606322625421,0.10883881119745145,0.1821969122842908,0.7410092917261769,0.6621399109027906,-0.017749842700207446,-0.11027652084297941,assembly_closed
4.6,0.5424876368788064,0.10897572761952383,0.1822039869319198,0.7412578333154715,0.6619846732307326,-0.016675169906742025,-0.10970440130019393,assembly_closed
4.633333333333333,0.5427234035642247,0.1090603384912648,0.18203352429247555,0.7414716122835622,0.6618565410211849,-0.01570953698699173,-0.10917407078945908,assembly_closed
4.666666666666667,0.5427653792930824,0.1090817113740935,0.18148229102164132,0.7417783409492121,0.6616681579914084,-0.014427078566796906,-0.10840664648866355,assembly_closed
4.7,0.5419851255290706,0.10901431260447879,0.18041997184997033,0.7420575544988743,0.661405475167147,-0.014119975836783275,-0.10813884367996199,assembly_closed
4.733333333333333,0.5411174720932058,0.10893150853720307,0.1793919995559916,0.7423267432477809,0.6611217156775784,-0.014102251162116834,-0.10802874539139674,assembly_closed
4.766666666666667,0.540444005296549,0.10886144794600665,0.1786238775989581,0.7425931254597697,0.6608321930727641,-0.014146083795649423,-0.10796365560584786,assembly_closed
4.8,0.5399293982784007,0.10881604884851617,0.17818520502013302,0.7428948993518493,0.6604711815524662,-0.014493526182938444,-0.10805056480407502,assembly_closed
4.833333333333333,0.5393992076465204,0.10876931394057889,0.17778016057822577,0.7433124585667256,0.6599644410377137,-0.014987170498962426,-0.10820771795811587,assembly_closed
4.866666666666666,0.538684351314994,0.10870376961738229,0.17722700948194703,0.7439847857759455,0.659158588505849,-0.015644836840537683,-0.10840587075029728,assembly_closed
4.9,0.5376648435268067,0.10860764214149488,0.17637489568195944,0.7450192805458524,0.6579395712096018,-0.016428655061837685,-0.10859047630581949,assembly_closed
4.933333333333334,0.5372098890212047,0.10859305349670349,0.17542664584666093,0.745845236022322,0.6571582124393657,-0.015507823493951972,-0.10778439189783022,assembly_closed
4.966666666666667,0.5366085055383191,0.1085739097382325,0.17391440658461035,0.7471406247351473,0.6559639059546548,-0.01364693967194454,-0.10632968537843288,assembly_closed
