model,response_error_mean_mm_equiv,response_error_ci_low,response_error_ci_high,response_endpoint_error_mean_mm_equiv,response_endpoint_error_ci_low,response_endpoint_error_ci_high,task_error_mean_mm_equiv,task_error_ci_low,task_error_ci_high,task_endpoint_error_mean_mm_equiv,task_endpoint_error_ci_low,task_endpoint_error_ci_high,generator_rmse,translation_profile_rmse,yaw_profile_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,crossing_detected,switch_status,switch_s_0_5,switch_absolute_error,switch_penalized_absolute_error
Frame-weighted,6.067796230564164,3.691892959017826,9.499986904586393,6.552355189867072,5.4177489912023065,7.732884471110534,4.764541062498883,2.396801249033616,8.503442125551786,3.261865639829831,0.953719574525097,5.560608176121229,0.3538671090677019,0.3147080730930463,0.34861836432372184,0.5681247729288877,1.0043115902168411,0.5681247729288877,False,right_censored,,,0.3972389783069491
Phase scalar GP,6.067722760455839,3.6918442126658664,9.500002262776505,6.55218642437219,5.4177213636651524,7.732942281971223,4.7644789174206865,2.3967792513544444,8.50354815159188,3.2610061304781564,0.9534907189027181,5.559129824070279,0.35385792132117666,0.31469415134887807,0.3486155210295093,0.5682379337708584,1.0043508754102977,0.5682379337708584,False,right_censored,,,0.3972389783069491
TP-GMM additive,3.894265567618436,1.7540108883737813,7.278698461909587,0.29650207768660924,0.17405243629804554,0.44309388496711505,3.7548329099989783,1.637166323526952,7.136623180135539,0.29365004327144595,0.16693017009034725,0.44180505671169296,0.17651754193816044,0.12091520564332853,0.06286573795914939,0.9976822356120078,0.944610411391653,0.001771692193527922,True,detected,0.5990434951575391,0.003717526535511828,0.003717526535511828
TP-GMM SE(2),4.292019703327986,2.2498247058819763,7.6026808947958635,0.29974270532847225,0.17833673765124314,0.44430574015218155,4.1589317134778385,2.1387616431384244,7.472544254365618,0.2976324313677411,0.17683061924601634,0.4427182089101992,0.17694216989279,0.12524631530456604,0.06766529041958912,0.9976709012294493,0.9458032337742975,0.0017686960713387788,True,detected,0.5993126754515354,0.0034483462415154653,0.0034483462415154653
Generic RBF,3.353391207011132,1.3245361903996287,6.744536249404707,0.2528757908124796,0.12697107293385224,0.392511016621808,3.3162463114761835,1.2912938997497045,6.706305291453619,0.25078635164600366,0.12395383069478587,0.3907200476498198,0.1955471800772518,0.18124986952120817,0.010122732274786602,1.0011714159478282,1.0001115135223735,-0.00030696707191415074,True,detected,0.6036921743418332,0.0009311526487822963,0.0009311526487822963
Full operator,3.34077555371809,1.3094628161302082,6.732935616021991,0.25284200985078537,0.12690015280279546,0.39251952828145126,3.3036624419637617,1.2762005244589831,6.695807886207521,0.25076921535331065,0.12405943919531795,0.3906198250580346,0.19557806546489526,0.18128486637649985,0.010118746823685534,1.0011758280313816,1.0001148745700028,-0.0003081410039393395,True,detected,0.6037170990011737,0.0009560773081227492,0.0009560773081227492
Pdiag pointwise,3.7089338352085544,1.6427427981120228,7.037983802461338,0.271998040204358,0.1464582901694237,0.4355010928355583,3.6713560934939458,1.6159587644347355,7.001754652512016,0.2709982258148974,0.14555249811821663,0.43488144098865916,0.18887321972265753,0.17558713183023214,0.009876383761528586,1.0013191109754036,0.9998924337530514,-0.00021822086103735208,True,detected,0.6036550422145484,0.0008940205214974517,0.0008940205214974517
Pdiag finite,3.5098990482958623,1.4662978306177634,6.880192278748565,0.5170337694391149,0.4024100670053435,0.643910065917072,3.447889282771132,1.419082254028544,6.822059877365966,0.42680151204172156,0.2609288430969519,0.600083735732384,0.19197541929877485,0.177377757279468,0.044005114800422185,0.9851815166564335,0.9998883256479858,0.025804256551784564,True,detected,0.6055937922859622,0.0028327705929113156,0.0028327705929113156
