model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Empirical isolated,0.0,Align keyed,0.0,-0.07496823867162065,0.03891487916310628,-0.01802667975425719,-0.004947372841238457
Empirical isolated,0.010416666666666666,Align keyed,0.041666666666666664,-0.011649231115976972,0.04328005015850067,0.01581540952126185,-0.003858136894126337
Empirical isolated,0.020833333333333332,Align keyed,0.08333333333333333,0.20573722819487247,0.04524816241529282,0.12549269530508264,0.012800585875527078
Empirical isolated,0.03125,Align keyed,0.125,0.445640863229831,0.047618399063746125,0.24662963114678854,0.03870518692082852
Empirical isolated,0.041666666666666664,Align keyed,0.16666666666666666,0.5985946704943973,0.05708874927626746,0.3278417098853324,0.08008217859557962
Empirical isolated,0.05208333333333333,Align keyed,0.20833333333333334,0.6617937857906024,0.0857269184456925,0.37376035211814745,0.13699498104897978
Empirical isolated,0.0625,Align keyed,0.25,0.639813517530759,0.13369452208280563,0.3867540198067823,0.20906619179850763
Empirical isolated,0.07291666666666666,Align keyed,0.2916666666666667,0.5353897421931231,0.19659288227558142,0.3659913122343522,0.2923726933114977
Empirical isolated,0.08333333333333333,Align keyed,0.3333333333333333,0.364982491979997,0.2737994823190902,0.3193909871495436,0.38491399916287367
Empirical isolated,0.09375,Align keyed,0.375,0.1707120939196708,0.37765450154741603,0.27418329773354344,0.4831053137928026
Empirical isolated,0.10416666666666666,Align keyed,0.4166666666666667,-0.029353471472858928,0.49015330150723424,0.23039991501718765,0.5824838149743649
Empirical isolated,0.11458333333333333,Align keyed,0.4583333333333333,-0.21726619452238002,0.6033029277912444,0.19301836663443217,0.6776579451245703
Empirical isolated,0.125,Align keyed,0.5,-0.3525224824746449,0.7028870129336914,0.17518226522952324,0.7629045692581037
Empirical isolated,0.13541666666666666,Align keyed,0.5416666666666666,-0.4181252482036749,0.7831103312532325,0.18249254152477878,0.8348301075535389
Empirical isolated,0.14583333333333331,Align keyed,0.5833333333333334,-0.4144621392091114,0.8473973216799394,0.216467591235414,0.8929525861756759
Empirical isolated,0.15625,Align keyed,0.625,-0.34332893167932826,0.8990712036999562,0.277871136010314,0.9370266635318417
Empirical isolated,0.16666666666666666,Align keyed,0.6666666666666666,-0.2090093990166977,0.9395616853402718,0.3652761431617871,0.9681925900325982
Empirical isolated,0.17708333333333331,Align keyed,0.7083333333333334,-0.014972624679407374,0.9685074289639791,0.47676740214228586,0.9868729809865628
Empirical isolated,0.1875,Align keyed,0.75,0.22617255647977186,0.9784569575761751,0.6023147570279734,0.9953104565699683
Empirical isolated,0.19791666666666666,Align keyed,0.7916666666666666,0.4797917480270067,0.9787809944504664,0.7292863712387365,0.9975873026160946
Empirical isolated,0.20833333333333331,Align keyed,0.8333333333333334,0.7253810763359065,0.9941132790926427,0.8597471777142747,0.9975674064248333
Empirical isolated,0.21875,Align keyed,0.875,0.896149066587289,1.042613169799248,0.9693811181932686,0.9974369574775774
Empirical isolated,0.22916666666666666,Align keyed,0.9166666666666666,0.9802474329868949,1.0824324278574846,1.0313399304221897,0.9993228464296555
Empirical isolated,0.23958333333333331,Align keyed,0.9583333333333334,1.0102093840638795,1.0940725501212807,1.05214096709258,1.0002634969055904
Empirical isolated,0.25,Align keyed,1.0,1.0013175507386523,1.0939892691870527,1.0476534099628525,1.0002036318488745
Empirical isolated,0.25,Enter key,0.0,1.0015626748402913,1.0935051677127674,1.0475339212765293,1.0001634568768552
Empirical isolated,0.2604166666666667,Enter key,0.041666666666666664,1.0011955785254636,1.093821788931058,1.0475086837282608,1.000067507809097
Empirical isolated,0.2708333333333333,Enter key,0.08333333333333333,1.0005054374535876,1.0935733405252295,1.0470393889894085,0.9998115896386307
Empirical isolated,0.28125,Enter key,0.125,1.0022923039893308,1.084926239370058,1.0436092716796943,0.9997790941361802
Empirical isolated,0.2916666666666667,Enter key,0.16666666666666666,1.0043301930030186,1.0923380290882452,1.048334111045632,0.9999709110403746
Empirical isolated,0.3020833333333333,Enter key,0.20833333333333334,1.004412397742271,1.0861174319870768,1.0452649148646738,1.0001242080339456
Empirical isolated,0.3125,Enter key,0.25,1.0039304693539937,1.0803559406970937,1.0421432050255437,1.0001079736520575
Empirical isolated,0.32291666666666663,Enter key,0.2916666666666667,1.0042211972177026,1.0719094878166087,1.0380653425171555,1.0000064827454829
