baseline,episode,condition_id,generator,metric,baseline_minus_pdiag_mm_equiv
TP-GMM additive,episode_5,4,yaw,response_error_mm_equiv,1.09188140209988
TP-GMM additive,episode_7,5,translation,response_error_mm_equiv,0.947159476942137
TP-GMM additive,episode_9,6,translation,response_error_mm_equiv,0.43682727986821845
TP-GMM additive,episode_11,7,translation,response_error_mm_equiv,-0.11632155356734808
TP-GMM additive,episode_12,8,translation,response_error_mm_equiv,0.3296126554607215
TP-GMM additive,episode_0,0,yaw,response_endpoint_error_mm_equiv,-0.25925623388147856
TP-GMM additive,episode_1,1,yaw,response_endpoint_error_mm_equiv,-0.23938068421988648
TP-GMM additive,episode_4,3,yaw,response_endpoint_error_mm_equiv,-0.24728673953046418
TP-GMM additive,episode_5,4,yaw,response_endpoint_error_mm_equiv,-0.37817233223521374
TP-GMM additive,episode_7,5,translation,response_endpoint_error_mm_equiv,-0.14420888865930026
TP-GMM additive,episode_9,6,translation,response_endpoint_error_mm_equiv,-0.0894498191741614
TP-GMM additive,episode_11,7,translation,response_endpoint_error_mm_equiv,-0.2965216677769772
TP-GMM additive,episode_12,8,translation,response_endpoint_error_mm_equiv,-0.10997716854256387
TP-GMM additive,episode_0,0,yaw,task_error_mm_equiv,0.43960762375513074
TP-GMM additive,episode_1,1,yaw,task_error_mm_equiv,0.5029439509981347
TP-GMM additive,episode_4,3,yaw,task_error_mm_equiv,-0.8301480174850782
TP-GMM additive,episode_5,4,yaw,task_error_mm_equiv,0.9100962858695789
TP-GMM additive,episode_7,5,translation,task_error_mm_equiv,0.875018658612021
TP-GMM additive,episode_9,6,translation,task_error_mm_equiv,0.4002433938353551
TP-GMM additive,episode_11,7,translation,task_error_mm_equiv,-0.1410656659513836
TP-GMM additive,episode_12,8,translation,task_error_mm_equiv,0.29885278818901284
TP-GMM additive,episode_0,0,yaw,task_endpoint_error_mm_equiv,0.005405420367737945
TP-GMM additive,episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.1980487596583145
TP-GMM additive,episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.17553761052594094
TP-GMM additive,episode_5,4,yaw,task_endpoint_error_mm_equiv,-0.05639343268601758
TP-GMM additive,episode_7,5,translation,task_endpoint_error_mm_equiv,-0.14419331638011934
TP-GMM additive,episode_9,6,translation,task_endpoint_error_mm_equiv,-0.08716525030364586
TP-GMM additive,episode_11,7,translation,task_endpoint_error_mm_equiv,-0.29735977631401445
TP-GMM additive,episode_12,8,translation,task_endpoint_error_mm_equiv,-0.11191902466189035
TP-GMM SE(2),episode_0,0,yaw,response_error_mm_equiv,1.7452202158758476
