task,model,sample_size,mean,std,count
keyed,Frame-weighted,5,0.44153148263964626,0.14043729680712425,18
keyed,Phase scalar GP,5,0.44150358367719295,0.14040605151862953,18
keyed,TP-GMM additive,5,0.1394788110173255,0.05749983598818654,18
keyed,TP-GMM SE(2),5,0.13480578494273696,0.03937808796270864,18
keyed,Generic RBF,5,0.16290367596308428,0.017777501492605444,18
keyed,Full operator,5,0.1693921971288611,0.02385513147579664,18
keyed,Pdiag pointwise,5,0.15943296738450374,0.008076983760145403,18
keyed,Pdiag finite,5,0.17676758165301723,0.02623394348256311,18
keyed,Frame-weighted,10,0.3657179696398165,0.06717926643689005,18
keyed,Phase scalar GP,10,0.36571733740217743,0.06717070966587141,18
keyed,TP-GMM additive,10,0.13203613069821876,0.020483812940071698,18
keyed,TP-GMM SE(2),10,0.15502492554212388,0.03293428145014544,18
keyed,Generic RBF,10,0.15940430526177382,0.008937387884001181,18
keyed,Full operator,10,0.16037534055368338,0.009405846194209696,18
keyed,Pdiag pointwise,10,0.15934370547130577,0.005976018291244262,18
keyed,Pdiag finite,10,0.17843140108929068,0.014512807922574936,18
keyed,Frame-weighted,20,0.33772960133898144,0.022740616729513267,18
keyed,Phase scalar GP,20,0.33772799190790076,0.022744444809924453,18
keyed,TP-GMM additive,20,0.13217992013302107,0.009855050960001378,18
keyed,TP-GMM SE(2),20,0.14208894056790966,0.006080839710594688,18
keyed,Generic RBF,20,0.15860895770222838,0.0021177605053681655,18
keyed,Full operator,20,0.15882662681037213,0.0020968163292915567,18
keyed,Pdiag pointwise,20,0.1582975586367389,0.001928293631097209,18
keyed,Pdiag finite,20,0.18019970126451568,0.006178606413994808,18
circular_honest,Frame-weighted,5,0.2995214165173095,0.06442194106248494,18
circular_honest,Phase scalar GP,5,0.2995001740536113,0.06441704797137966,18
circular_honest,TP-GMM additive,5,0.0006897387087572126,0.0013243029530174463,18
circular_honest,TP-GMM SE(2),5,0.006815963255104444,0.015907011634648447,18
circular_honest,Generic RBF,5,0.00031650496849280907,0.0005962866464518802,18
circular_honest,Full operator,5,0.06209700235829,0.26046104145272575,18
circular_honest,Pdiag pointwise,5,0.0007706487021652284,0.002551477020267564,18
circular_honest,Pdiag finite,5,0.00768805431071937,0.011725563904835534,18
circular_honest,Frame-weighted,10,0.26241338513618234,0.05376941065970632,18
circular_honest,Phase scalar GP,10,0.2624038388949753,0.05377011950981325,18
circular_honest,TP-GMM additive,10,0.00014312144175809138,0.0005035174499312448,18
circular_honest,TP-GMM SE(2),10,0.0001317053861479624,0.0003910497587776047,18
circular_honest,Generic RBF,10,8.448848967462162e-05,0.00016215463736988906,18
circular_honest,Full operator,10,0.00018561899417225133,0.00043667468169399646,18
circular_honest,Pdiag pointwise,10,7.697440157767843e-05,8.852790157274944e-05,18
circular_honest,Pdiag finite,10,0.003200590924397649,0.005443939049708124,18
circular_honest,Frame-weighted,20,0.26210116136186035,0.01387787177927377,18
circular_honest,Phase scalar GP,20,0.26209389109789205,0.013879309788505002,18
circular_honest,TP-GMM additive,20,0.000591927838329879,0.0009273494462616774,18
circular_honest,TP-GMM SE(2),20,0.0005683490015142883,0.0009066652748432936,18
circular_honest,Generic RBF,20,7.819207309499383e-05,8.836624170588827e-05,18
circular_honest,Full operator,20,0.0001600583467332113,0.0002270584095456811,18
circular_honest,Pdiag pointwise,20,0.000129565225206009,0.00015411346120827266,18
circular_honest,Pdiag finite,20,0.0016078868215250379,0.0008183992406596774,18
circular_placebo,Frame-weighted,5,0.32179890265967,0.06528147859185064,18
circular_placebo,Phase scalar GP,5,0.32174847109153026,0.06527822835599437,18
circular_placebo,TP-GMM additive,5,0.0010164889679844726,0.0017126626168353543,18
circular_placebo,TP-GMM SE(2),5,0.00035437194649132295,0.0010071624529989906,18
circular_placebo,Generic RBF,5,0.004697553915076757,0.016475575094507724,18
circular_placebo,Full operator,5,0.004979546672444415,0.016731774582382477,18
circular_placebo,Pdiag pointwise,5,0.003966436019885598,0.01616032897803992,18
circular_placebo,Pdiag finite,5,0.004915112111586433,0.01638421054263405,18
circular_placebo,Frame-weighted,10,0.28914456885144657,0.061868146422125535,18
circular_placebo,Phase scalar GP,10,0.2891307338688517,0.061866713048089356,18
circular_placebo,TP-GMM additive,10,0.0005232520359422412,0.0012913898330122243,18
circular_placebo,TP-GMM SE(2),10,0.0008042441597607565,0.0017087721576730982,18
circular_placebo,Generic RBF,10,0.0016222591841099957,0.00349534668398046,18
circular_placebo,Full operator,10,0.00180264834275664,0.003854818625546877,18
circular_placebo,Pdiag pointwise,10,0.0010667045804414476,0.002602279690463288,18
circular_placebo,Pdiag finite,10,0.001844215869738641,0.0027782443616794113,18
circular_placebo,Frame-weighted,20,0.2839550474612606,0.01683375973642758,18
circular_placebo,Phase scalar GP,20,0.2839458638967034,0.016831886851891215,18
circular_placebo,TP-GMM additive,20,0.0005218300414080415,0.0009972104370892508,18
circular_placebo,TP-GMM SE(2),20,0.00037925806281302826,0.0007732713280032247,18
circular_placebo,Generic RBF,20,0.0005699985540563409,0.001003128960576543,18
circular_placebo,Full operator,20,0.0005801928550243858,0.0010190856805795845,18
circular_placebo,Pdiag pointwise,20,0.00045511637312456297,0.0007842708910755286,18
circular_placebo,Pdiag finite,20,0.0014777320403155632,0.0010110957233464045,18
