task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20260818,18,random,3,0,TP-GMM SE(2),True,,0.4474420459009707,0.4033175805322622,0.30852739557770303,0.253005548456607,False,left_censored,
keyed,20260818,19,random,3,1,TP-GMM SE(2),True,,0.5701939091086388,0.479712796103376,0.3237654696132946,0.21618362145655848,False,left_censored,
keyed,20260818,20,random,3,2,TP-GMM SE(2),True,,0.33534827921539545,0.4907246276769569,0.3705931654633343,0.22182787548156832,False,left_censored,
keyed,20260818,21,qualified,3,0,TP-GMM SE(2),True,,0.3185447081923485,0.4816102665470158,0.3739540643128464,0.2215083897713021,False,left_censored,
keyed,20260818,22,qualified,3,1,TP-GMM SE(2),True,,0.5551252397708595,0.48102760572514136,0.3462097281984129,0.21531225971525048,False,left_censored,
keyed,20260818,23,qualified,3,2,TP-GMM SE(2),True,,0.4645914654247463,0.539599280877937,0.5243443366127939,0.2508064163668789,False,right_censored,
keyed,20270818,18,random,3,0,TP-GMM SE(2),True,,0.5699454117566347,0.42804272715429603,0.32259861617160945,0.24356509953864947,False,left_censored,
keyed,20270818,19,random,3,1,TP-GMM SE(2),True,,0.3666759058833122,0.47540142817656955,0.3054816212551588,0.21193796447465688,False,left_censored,
keyed,20270818,20,random,3,2,TP-GMM SE(2),True,,0.3152381400577724,0.4744034460064385,0.34193144243866164,0.2226802330535608,False,left_censored,
keyed,20270818,21,qualified,3,0,TP-GMM SE(2),True,,0.6020437860861421,0.4936923401448279,0.35555834728277375,0.2083876391859799,False,left_censored,
keyed,20270818,22,qualified,3,1,TP-GMM SE(2),True,,0.36743135703727603,0.4519561807071467,0.3537546062335407,0.23109653534168392,False,left_censored,
keyed,20270818,23,qualified,3,2,TP-GMM SE(2),True,,0.3283603461459279,0.5120093268109693,0.48464802813209296,0.2438730173146177,False,left_censored,
keyed,20280818,18,random,3,0,TP-GMM SE(2),True,,0.4030808317475021,0.4114389206301894,0.31478671129404834,0.25024974777505876,False,left_censored,
keyed,20280818,19,random,3,1,TP-GMM SE(2),True,,0.39275582134723663,0.46966705354456567,0.33006853678092407,0.22171691327284995,False,left_censored,
keyed,20280818,20,random,3,2,TP-GMM SE(2),True,,0.5959749543108046,0.47610696242612455,0.35776825978914345,0.22492805624354517,False,left_censored,
keyed,20280818,21,qualified,3,0,TP-GMM SE(2),True,,0.443013247102499,0.4551281708910649,0.3341026859602131,0.22209418295972735,False,left_censored,
keyed,20280818,22,qualified,3,1,TP-GMM SE(2),True,,0.43265785090625286,0.45041327250049606,0.3431120804705244,0.2297045586027525,False,left_censored,
keyed,20280818,23,qualified,3,2,TP-GMM SE(2),True,,0.6631074068136513,0.5321894680322076,0.4957873090635108,0.2395001857395874,False,left_censored,
circular_honest,20260818,18,random,3,0,TP-GMM SE(2),True,,0.419564101845026,0.002182155239268069,0.002620651361247295,6.600910462915922e-06,False,left_censored,
circular_honest,20260818,19,random,3,1,TP-GMM SE(2),True,,0.6157481987029314,0.0018104391402301758,0.0013891259324564085,3.0510831316936495e-06,False,left_censored,
circular_honest,20260818,20,random,3,2,TP-GMM SE(2),True,,0.36849090410396457,0.0032310940173314357,0.002081624455754815,6.798219172851254e-05,False,left_censored,
circular_honest,20260818,21,qualified,3,0,TP-GMM SE(2),True,,0.4086936414241791,-0.00023236950046594048,0.031161982814613874,0.0012566250551211795,False,left_censored,
circular_honest,20260818,22,qualified,3,1,TP-GMM SE(2),True,,0.5449687992222607,0.0013764490757139274,0.0011546861865256925,2.0198346444105366e-06,False,left_censored,
circular_honest,20260818,23,qualified,3,2,TP-GMM SE(2),True,,0.4067796338349581,0.1224148353453923,0.10258146510544358,0.012921261026823347,False,left_censored,
