model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
TP-GMM additive,20,20270818,keyed,circular_placebo,11.84267999096548,3.690371143706049,8.152308847259432
TP-GMM SE(2),20,20270818,keyed,circular_honest,5.19889885319139,3.145075542735137,2.053823310456253
TP-GMM SE(2),20,20270818,keyed,circular_placebo,11.960336729287645,3.145075542735137,8.815261186552508
Generic RBF,20,20270818,keyed,circular_honest,4.5589330781628385,2.1762215812862937,2.382711496876545
Generic RBF,20,20270818,keyed,circular_placebo,12.44446034795567,2.1762215812862937,10.268238766669377
Full operator,20,20270818,keyed,circular_honest,4.547389689210606,1.7510466706141112,2.7963430185964944
Full operator,20,20270818,keyed,circular_placebo,12.438161263843542,1.7510466706141112,10.687114593229431
Pdiag pointwise,20,20270818,keyed,circular_honest,4.129116023696221,1.8947589462182133,2.2343570774780073
Pdiag pointwise,20,20270818,keyed,circular_placebo,12.315624131755802,1.8947589462182133,10.42086518553759
Pdiag finite,20,20270818,keyed,circular_honest,4.539310820352395,1.8681346223996007,2.6711761979527946
Pdiag finite,20,20270818,keyed,circular_placebo,12.393206230549213,1.8681346223996007,10.525071608149613
Frame-weighted,5,20280818,keyed,circular_honest,5.626861767328683,5.2759552471011455,0.35090652022753765
Frame-weighted,5,20280818,keyed,circular_placebo,14.050278928142419,5.2759552471011455,8.774323681041274
Phase scalar GP,5,20280818,keyed,circular_honest,5.626446267679721,5.275996572918843,0.3504496947608775
Phase scalar GP,5,20280818,keyed,circular_placebo,14.050168287791777,5.275996572918843,8.774171714872935
TP-GMM additive,5,20280818,keyed,circular_honest,7.4273692368852275,5.4836133558923486,1.943755880992879
TP-GMM additive,5,20280818,keyed,circular_placebo,13.405487725292362,5.4836133558923486,7.9218743694000135
TP-GMM SE(2),5,20280818,keyed,circular_honest,7.203536439922591,5.594837601350649,1.608698838571942
TP-GMM SE(2),5,20280818,keyed,circular_placebo,13.574579779903486,5.594837601350649,7.979742178552836
Generic RBF,5,20280818,keyed,circular_honest,8.39960019282318,9.23395985441551,-0.8343596615923303
Generic RBF,5,20280818,keyed,circular_placebo,15.657040916795024,9.23395985441551,6.423081062379515
Full operator,5,20280818,keyed,circular_honest,7.305590049662382,4.439246922677712,2.8663431269846704
Full operator,5,20280818,keyed,circular_placebo,14.545423152380389,4.439246922677712,10.106176229702676
Pdiag pointwise,5,20280818,keyed,circular_honest,4.656736540718197,2.3772137639616546,2.2795227767565422
Pdiag pointwise,5,20280818,keyed,circular_placebo,12.9846345301441,2.3772137639616546,10.607420766182447
Pdiag finite,5,20280818,keyed,circular_honest,5.067969818616697,2.668521930707558,2.399447887909139
Pdiag finite,5,20280818,keyed,circular_placebo,13.181211444653501,2.668521930707558,10.512689513945944
Frame-weighted,10,20280818,keyed,circular_honest,5.373885703872404,5.205089023366244,0.16879668050616026
Frame-weighted,10,20280818,keyed,circular_placebo,14.128565124878698,5.205089023366244,8.923476101512453
Phase scalar GP,10,20280818,keyed,circular_honest,5.3737786766506375,5.205077891171544,0.16870078547909362
Phase scalar GP,10,20280818,keyed,circular_placebo,14.128378028409841,5.205077891171544,8.923300137238297
TP-GMM additive,10,20280818,keyed,circular_honest,7.311459199589354,5.087848336011381,2.2236108635779734
