task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20260818,3,qualified,5,0,Phase scalar GP,True,,0.22509786672890186,0.5860639527642671,0.6995847983974134,0.5081297727799359,False,right_censored,
keyed,20260818,3,qualified,5,0,TP-GMM additive,True,,14.27269870787859,0.7567473679295073,0.18490121058794048,0.07888540942208802,True,detected,0.5964234580783482
keyed,20260818,3,qualified,5,0,TP-GMM SE(2),True,,14.185321914032102,0.7159497361353228,0.18851350441850137,0.10326611722832071,True,detected,0.5925933123151236
keyed,20260818,3,qualified,5,0,Generic RBF,True,,0.7872430770657957,0.7639189456978613,0.20491317893349714,0.13350326942332397,True,detected,0.6039942017864885
keyed,20260818,3,qualified,5,0,Full operator,True,,0.002181712072342634,0.8346022479931803,0.2247883091808337,0.14271976755170487,True,detected,0.6099109066529143
keyed,20260818,3,qualified,5,0,Pdiag pointwise,True,,0.008283778093755245,0.83059808535532,0.21268635732102545,0.1523388724205635,True,detected,0.6038990837747398
keyed,20260818,3,qualified,5,0,Pdiag finite,True,,3.600204737856984,0.8344303060553574,0.2230121994863749,0.14702185111110308,True,detected,0.6049941894899312
keyed,20260818,4,qualified,5,1,Frame-weighted,True,,0.009509169030934572,0.7938250663983618,0.6086991996172828,0.2850932608602808,True,detected,0.6901058471381375
keyed,20260818,4,qualified,5,1,Phase scalar GP,True,,0.28814251022413373,0.7938501998934112,0.6086769884441529,0.28504581126573564,True,detected,0.6914465251463272
keyed,20260818,4,qualified,5,1,TP-GMM additive,True,,13.20737083395943,0.6004508578572768,0.12032292755176416,0.1249629477254061,False,left_censored,
keyed,20260818,4,qualified,5,1,TP-GMM SE(2),True,,13.760537532158196,0.6319462088668442,0.1269333812929167,0.12362144694273138,False,left_censored,
keyed,20260818,4,qualified,5,1,Generic RBF,True,,0.4531443128362298,0.8000351058651483,0.2364389631930358,0.16428236530516308,True,detected,0.6086076371184715
keyed,20260818,4,qualified,5,1,Full operator,True,,0.0020269369706511497,0.8000350109343117,0.23643861265809274,0.16431054327158834,True,detected,0.608450953455653
keyed,20260818,4,qualified,5,1,Pdiag pointwise,True,,0.0075372918508946896,0.8047064297114547,0.2329179190146477,0.16297864259785552,True,detected,0.608396667480362
keyed,20260818,4,qualified,5,1,Pdiag finite,True,,1.4272223133593798,0.7608487934618343,0.24484244816636258,0.18324203948684845,True,detected,0.6097978184988244
