episode,generator,scalar_error_mm_equiv,diagonal_error_mm_equiv
episode_0,yaw,8.894268362759568,0.17701253943253054
episode_1,yaw,4.4638183735637185,0.30332278406040436
episode_4,yaw,4.438616841211348,0.20959783099133353
episode_5,yaw,8.892806749331731,0.1648084764768587
episode_7,translation,6.572795004031548,0.2168028782979888
episode_9,translation,6.526705525226318,0.029316802584165504
episode_11,translation,5.169009661137996,1.2851394243212537
episode_12,translation,7.0317512768531785,0.6211430088896833
