episode,condition_id,attempt_id,generator,steps,success,complete,max_contact_force_N,contact_frames,max_socket_drift_m,final_distance_m,final_axis_error_rad,final_key_clearance_m,dx,dy,dyaw,solver_error
episode_0,0,0,yaw,422,True,True,0.0,0,0.0,0.0008550088386982679,0.0013823858462274075,0.022828925400972366,0.0,0.0,-0.5235987755982988,
episode_1,1,0,yaw,408,True,True,0.0,0,0.0,0.0012378309620544314,0.002009773161262274,0.023224059492349625,0.0,0.0,-0.2617993877991494,
episode_2,2,0,yaw,511,True,True,0.0,0,0.0,0.0008143424638547003,0.001247403328306973,0.022758502513170242,0.0,0.0,0.0,
episode_3,3,0,yaw,157,False,False,0.0,0,0.0,0.3532288372516632,1.5843065977096558,0.06839302182197571,0.0,0.0,0.2617993877991494,RuntimeError('motion planning failed')
episode_4,3,1,yaw,411,True,True,0.0,0,0.0,0.001228900975547731,0.001861140481196344,0.023213401436805725,0.0,0.0,0.2617993877991494,
episode_5,4,0,yaw,416,True,True,0.0,0,0.0,0.000981088145636022,0.0014136135578155518,0.022866398096084595,0.0,0.0,0.5235987755982988,
episode_6,5,0,translation,754,False,True,100.64082321902345,96,0.0,0.05439973250031471,0.07787314057350159,-0.028114084154367447,-0.015,0.0,0.0,
episode_7,5,1,translation,343,True,True,98.81517864734809,1,0.0,0.0003875319962389767,0.0006222828524187207,0.022339005023241043,-0.015,0.0,0.0,
episode_8,6,0,translation,150,False,False,0.0,0,0.0,0.38890814781188965,1.584306001663208,0.0683930441737175,0.015,0.0,0.0,RuntimeError('motion planning failed')
episode_9,6,1,translation,509,True,True,0.0,0,0.0,0.000811167701613158,0.0011963234283030033,0.022747907787561417,0.015,0.0,0.0,
episode_10,7,0,translation,163,False,False,0.0,0,0.0,0.29232150316238403,1.584307074546814,0.0683930516242981,0.0,-0.015,0.0,RuntimeError('motion planning failed')
episode_11,7,1,translation,423,True,True,31.37927428621001,75,0.0,0.002182374009862542,0.0026163719594478607,0.020153172314167023,0.0,-0.015,0.0,
episode_12,8,0,translation,362,True,True,0.0,0,0.0,0.001507290406152606,0.00228154961951077,0.023479171097278595,0.0,0.015,0.0,
episode_13,9,0,mixed,157,False,False,0.0,0,3.725290298461914e-09,0.31817904114723206,1.5843065977096558,0.06839301437139511,-0.0023931185865242923,-0.0010791215800725062,-0.18657306469668755,RuntimeError('motion planning failed')
episode_14,9,1,mixed,389,True,True,0.0,0,3.725290298461914e-09,0.001322504598647356,0.002083063591271639,0.023311473429203033,-0.0023931185865242923,-0.0010791215800725062,-0.18657306469668755,
episode_15,10,0,mixed,417,True,True,0.0,0,3.725290298461914e-09,0.0013144731055945158,0.002080725971609354,0.02330237627029419,-0.0022283235571025524,-0.010246784663665433,-0.27645951677924374,
episode_16,11,0,mixed,343,True,True,0.0,0,0.0,0.0011838346254080534,0.0018796812510117888,0.02315889298915863,0.0038875386126535627,0.011759554302412916,-0.03424688094341882,
episode_17,12,0,mixed,408,True,True,0.0,0,0.0,0.0009750533499754965,0.0015684869140386581,0.022959411144256592,0.008713388927921128,-0.003174494924091142,-0.4797539782073512,
episode_18,13,0,mixed,423,True,True,0.0,0,3.725290298461914e-09,0.0018917979905381799,0.0031149317510426044,0.02375325933098793,0.0029496725821234956,-0.011109129942626405,-0.31578453071810775,
episode_19,14,0,mixed,398,True,True,0.0,0,0.0,0.00132830033544451,0.0020291341934353113,0.02331310138106346,-0.01132050548199724,0.0031447275593994104,0.18656551070753769,
episode_20,15,0,mixed,396,True,True,0.0,0,3.725290298461914e-09,0.0014256845461204648,0.0021641612984240055,0.0234156996011734,-0.005542401259478868,0.00032293439542781417,0.1333377524075764,
episode_21,16,0,mixed,386,True,True,0.0,0,7.450580596923828e-09,0.0011404131073504686,0.0018710989970713854,0.023128002882003784,-0.0022334160048983077,-0.0012357486408763746,-0.2752020212045151,
episode_22,17,0,mixed,370,True,True,0.0,0,0.0,0.0015436653047800064,0.0023300116881728172,0.02353154495358467,0.0022465624784044486,-0.006905244765118781,-0.003963456565738155,
episode_23,18,0,mixed,400,True,True,0.0,0,0.0,0.0013741786824539304,0.002200256334617734,0.02336261048913002,0.0015680678224564305,0.011519377382340677,-0.14347506968843726,
episode_24,19,0,mixed,380,True,True,0.0,0,3.725290298461914e-09,0.001188020221889019,0.002130132867023349,0.023181457072496414,0.010362728597275557,-0.0007917488497382989,-0.39507205299764264,
episode_25,20,0,mixed,361,True,True,0.0,0,0.0,0.0012155236909165978,0.002064959378913045,0.02319364994764328,0.001202303376842826,-0.002872683158953766,-0.1610041259052088,
episode_26,21,0,mixed,3603,False,False,0.0,0,7.450580596923828e-09,0.24245204031467438,1.5843024253845215,0.06839295476675034,0.005460533610843841,-0.009176065566340208,-0.36630729949089225,RuntimeError('motion planning failed')
episode_27,21,1,mixed,411,True,True,0.0,0,7.450580596923828e-09,0.0011342931538820267,0.001803300459869206,0.023118916898965836,0.005460533610843841,-0.009176065566340208,-0.36630729949089225,
episode_28,22,0,mixed,376,True,True,0.0,0,3.725290298461914e-09,0.0012345818104222417,0.0019040422048419714,0.023227907717227936,-0.01019785503635493,0.011887546132995197,0.33840644592155844,
episode_29,23,0,mixed,496,False,False,0.0,0,7.450580596923828e-09,0.42956969141960144,1.5843011140823364,0.06839282065629959,0.003583363549875037,-0.0038229538769398493,0.3152581491511527,RuntimeError('motion planning failed')
episode_30,23,1,mixed,391,True,True,0.0,0,7.450580596923828e-09,0.0012745490530505776,0.001902107847854495,0.023254629224538803,0.003583363549875037,-0.0038229538769398493,0.3152581491511527,
episode_31,24,0,mixed,382,True,True,0.0,0,3.725290298461914e-09,0.0012400035047903657,0.0019072425784543157,0.02318757399916649,0.006914381992931009,-0.0015510412992135268,-0.3045332339783158,
episode_32,25,0,mixed,367,True,True,0.0,0,7.450580596923828e-09,0.0010337471030652523,0.0014490536414086819,0.022912461310625076,-0.010535570229681426,-0.006097956751513089,-0.021991373126857727,
episode_33,26,0,mixed,357,True,True,0.0,0,3.725290298461914e-09,0.0013676724629476666,0.002061145845800638,0.023318227380514145,-0.0008629709010328137,-0.0005531067163298594,0.06367738146914015,
